"test_ligand" "auroc" "aupr" "aupr_corrected" "pearson"
"RSPO3" 0.658888262487322 0.131326129229179 0.0820812178700196 0.146686669452187
"IL4" 0.656028488743561 0.112784663582246 0.0635397522230865 0.144493435845907
"CD274" 0.645567895666555 0.110779705512782 0.0615347941536223 0.110593823404928
"IL15" 0.645020859172411 0.109337192229388 0.0600922808702289 0.140478679128689
"OCLN" 0.643663039801549 0.126939804107072 0.0776948927479124 0.137423675721533
"TGFB1" 0.64029804186867 0.107754990849422 0.0585100794902626 0.151911555536345
"IL7" 0.639845059570794 0.0996435265910344 0.0503986152318748 0.0907758132670982
"IL1B" 0.637590295786818 0.105254286817388 0.0560093754582284 0.133154833313372
"CD40LG" 0.636647874619461 0.121846638813756 0.0726017274545969 0.133137113112498
"IL10" 0.636605310632551 0.0985529895451935 0.0493080781860339 0.12509699091943
"CCL3" 0.635862273086034 0.118330304996646 0.0690853936374862 0.102207676620266
"JAML" 0.635078832638017 0.122706308797081 0.0734613974379219 0.132586623343708
"TNF" 0.634911865298608 0.104995384161588 0.0557504728024285 0.131714914228147
"COL18A1" 0.634094693125855 0.12406833309645 0.0748234217372902 0.12652946715846
"ENG" 0.631973822678247 0.120480000261114 0.0712350889019549 0.133546246397848
"IFNG" 0.631370504002719 0.0904318799543356 0.0411869685951761 0.0981398321596544
"CD40" 0.630877024843086 0.103853678033821 0.054608766674661 0.097841524033945
"EPO" 0.630631600706588 0.106356131529822 0.0571112201706626 0.0981454602691508
"IL12A" 0.629704025256505 0.102708969383144 0.0534640580239846 0.125578219925208
"IL2" 0.629657420979436 0.110258188570268 0.0610132772111082 0.136224874626487
"S100B" 0.629632051715717 0.118851401462789 0.0696064901036296 0.128846748512801
"TNFSF9" 0.629461513887327 0.0966075891727808 0.0473626778136212 0.104534613973863
"IL5" 0.62936050663359 0.107548835243168 0.0583039238840083 0.0981699472043688
"BTLA" 0.629031269966563 0.116582798715242 0.0673378873560826 0.121878534367753
"CCL2" 0.628706261510129 0.0983918114125152 0.0491469000533556 0.0646271354482193
"CCL7" 0.628468636073219 0.121625965211361 0.0723810538522018 0.131216363540173
"IL13" 0.62838848799189 0.102200750586842 0.0529558392276821 0.111151712793567
"CCL20" 0.628033694140638 0.126324441419896 0.0770795300607361 0.134046505835569
"CCL1" 0.627865787198866 0.10971602948406 0.0604711181249003 0.125977089463112
"MPDZ" 0.627458845416613 0.116785281511722 0.0675403701525628 0.126921166963687
"CD80" 0.627400214229351 0.117847841670997 0.0686029303118378 0.108306910511728
"EDIL3" 0.627297515691372 0.122395136203662 0.0731502248445022 0.134038963177455
"NCAM1" 0.627194347352209 0.123244360834354 0.0739994494751942 0.116407454034011
"GZMB" 0.627073138647723 0.118578350449256 0.069333439090096 0.123486294488111
"IL3" 0.627054722441472 0.0909150192707235 0.041670107911564 0.0906470272138145
"IL1RN" 0.62691049347915 0.118416133183677 0.0691712218245176 0.128169283967441
"COL5A1" 0.626620438230544 0.105265325098651 0.0560204137394915 0.102321053760566
"PTPRC" 0.626380651708198 0.112362719407262 0.0631178080481021 0.110916538583714
"NAALADL1" 0.626158529710233 0.111803924685654 0.0625590133264941 0.128753547634266
"ADAM17" 0.625929642575271 0.10517575280575 0.0559308414465905 0.090384967668154
"CD48" 0.625794527755857 0.113743874419183 0.0644989630600235 0.128890027086275
"CD72" 0.625641936332548 0.117719615544356 0.0684747041851965 0.12592559849419
"EFNB3" 0.625396888036989 0.120737604999409 0.0714926936402497 0.127442635413115
"VTCN1" 0.625256511444348 0.117247336720827 0.0680024253616673 0.124608793663553
"LTA" 0.625220054872776 0.0860851470656764 0.0368402357065168 0.0271855801666878
"HLA-C" 0.625169692186266 0.117229624971344 0.0679847136121845 0.12594793015854
"IL12B" 0.625144886683957 0.110189651320709 0.0609447399615492 0.129536202833151
"IL6" 0.625084564212422 0.10204663782196 0.0528017264628001 0.112291122474361
"IL36G" 0.624968899161874 0.0960948273575131 0.0468499159983535 0.0971869063722716
"CXCL14" 0.624792535798853 0.119004224014849 0.0697593126556891 0.132886772504094
