"test_ligand" "auroc" "aupr" "aupr_corrected" "pearson"
"CLEC4G" 0.512823609185387 0.268604279503202 0.0181177629616397 0.0273942443802308
"IL7" 0.50549946244291 0.261643697709545 0.0111571811679829 0.0263641525431434
"IFNG" 0.503773854782007 0.264174515801209 0.0136879992596468 0.041467516561401
"IL27" 0.501949467803842 0.262851308348971 0.0123647918074082 0.0409605723879298
"IFNL3" 0.500995111853224 0.262680709265091 0.0121941927235289 0.0379889830085318
"RSPO3" 0.500269647638462 0.256915552709334 0.00642903616777196 0.00728409035124484
"IGFL3" 0.5 0.625243258270781 0.374756741729219 NA
"IFNE" 0.498871893997695 0.257501294130036 0.00701477758847319 0.0141111922893513
"IFITM1" 0.498853254233033 0.258334595817161 0.00784807927559872 0.0139572798964283
"C4BPA" 0.49865450631291 0.253454431645047 0.00296791510348454 0.00416022892268583
"DLL3" 0.498363588758945 0.25353186777177 0.0030453512302076 0.00417914322215572
"MIA" 0.498354257441178 0.255087344770811 0.0046008282292484 0.00625715119003729
"SELP" 0.498288206348735 0.254163360284692 0.00367684374313004 0.00496470166248947
"IL21" 0.49824054344131 0.257732363666928 0.00724584712536591 0.0287917510660266
"CCL2" 0.497967991201482 0.257907063225401 0.00742054668383885 0.0195540325438513
"IFNA4" 0.497803343758794 0.25673952115277 0.0062530046112072 0.0100242043297478
"IFNA5" 0.497434162064132 0.256874430568992 0.00638791402742978 0.0121668989298209
"IFNA7" 0.497266427053062 0.256431525771686 0.00594500923012359 0.0105894556799205
"IFNK" 0.497219061467037 0.255423332790529 0.00493681624896647 0.00928360388757951
"IFNA21" 0.49703364726814 0.256503609405782 0.00601709286421931 0.0118070674662974
"IFNA2" 0.496986258811231 0.256512219072135 0.00602570253057266 0.0143254931645372
"IFNL1" 0.49672720038877 0.25659216624047 0.00610564969890731 0.0215893657128898
"IFNA14" 0.496675855270161 0.256279286945728 0.00579277040416537 0.01053516902503
"IL22" 0.496510132896262 0.252054273627294 0.00156775708573142 0.00673842558996174
"IL10" 0.496403989156644 0.255970062140199 0.00548354559863662 0.026115129543443
"IFNA10" 0.496296976323702 0.255207256218685 0.00472073967712217 0.00363410161683557
"IL23A" 0.496287027492256 0.254573811590302 0.00408729504873939 0.0111946172816297
"IFNA16" 0.496284991984213 0.255837941187114 0.00535142464555155 0.00945143334837759
"IL4" 0.496206887939659 0.252906321827479 0.00241980528591695 0.0157051584467823
"CD40" 0.496144656283654 0.251238832945399 0.000752316403836217 -0.00628191221834182
"ALKAL1" 0.495942660699017 0.253170885121399 0.002684368579837 0.00835194625506631
