"test_ligand" "auroc" "aupr" "aupr_corrected" "pearson"
"GDNF" 0.647978372743835 0.0942596725501371 0.0387509993199449 0.05895954829669
"SERPINE1" 0.642762563019678 0.0983524210224669 0.0428437477922747 0.104274947710401
"CXCL10" 0.641180866163486 0.101322677279038 0.0458140040488454 0.101639380427242
"PTH" 0.640992125725455 0.0950004615994113 0.039491788369219 0.0546394791772989
"IGSF21" 0.640604750859273 0.102290757455147 0.0467820842249544 0.124223982937136
"PLG" 0.640298624098149 0.0962195810172178 0.0407109077870256 0.0813184177912093
"HLA-A" 0.639990988084287 0.0991005250292959 0.0435918517991037 0.112853018294317
"FGF13" 0.639878464908864 0.0989955763431132 0.043486903112921 0.117584749094121
"HLA-DOB" 0.639379489188384 0.0941124850238383 0.0386038117936461 0.105709653320342
"VTN" 0.6390824179436 0.0965656294379273 0.0410569562077351 0.101444882792171
"ARTN" 0.638869277919831 0.0967899260404697 0.0412812528102775 0.097960031941499
"IL1A" 0.638838841323202 0.0986238067394121 0.0431151335092198 0.078813651037708
"HLA-DRA" 0.638261803697876 0.0980723560479314 0.0425636828177392 0.109319528800498
"CAMP" 0.638246124239008 0.0971875207874401 0.0416788475572479 0.0803106438232082
"GP5" 0.638076752544273 0.0966749593621588 0.0411662861319666 0.112143628937321
"IL17F" 0.63762397672664 0.0942940135778036 0.0387853403476114 0.0903524644592611
"SDC2" 0.637211112258891 0.0979980325885614 0.0424893593583692 0.114593006303249
"FGF2" 0.637118712453154 0.0952144947988942 0.039705821568702 0.0721038741359847
"TIMP3" 0.637031427337195 0.0945183903744385 0.0390097171442463 0.103059270012685
"IL36RN" 0.63695026307952 0.0961276417896211 0.0406189685594288 0.0944120886558099
"CD244" 0.636855096310448 0.0994660271012882 0.0439573538710959 0.0931640748725588
"FGF11" 0.636834805246041 0.0964059705327265 0.0408972973025343 0.113684320300997
"LPA" 0.636663421214334 0.0953310374561852 0.039822364225993 0.0731022272483522
"CD2" 0.636565235939814 0.0971593543589985 0.0416506811288063 0.0944397601867228
