"test_ligand" "auroc" "aupr" "aupr_corrected" "pearson"
"GDNF" 0.683511702650943 0.116509551767727 0.057790857461377 0.0874243106270816
"FGG" 0.682960596379136 0.122465507433427 0.0637468131270771 0.1482318806015
"ICOSLG" 0.679972731223474 0.1238337783521 0.0651150840457494 0.153297024702141
"VEGFD" 0.679746605729793 0.125322881720748 0.0666041874143976 0.150257774315548
"PLG" 0.679462297294927 0.122725703056681 0.0640070087503303 0.10907096631865
"BTLA" 0.679434280338309 0.13189786229093 0.0731791679845795 0.156020280328799
"VTCN1" 0.679347045723368 0.130950636150042 0.0722319418436916 0.153874458491038
"FGF6" 0.678381893405037 0.126407599296772 0.0676889049904222 0.151999149432255
"ARTN" 0.678318934846229 0.12052060218848 0.0618019078821294 0.125408837261662
"CD70" 0.678261309060476 0.122001162888568 0.0632824685822181 0.135441776340804
"B2M" 0.67823735137881 0.126878589003528 0.0681598946971773 0.142260176248092
"CD80" 0.67813961040513 0.130631892728934 0.0719131984225838 0.132074462288643
"PTH" 0.678043938865727 0.116821647328086 0.0581029530217354 0.0817927779146146
"VTN" 0.678022528180128 0.122394289589163 0.0636755952828131 0.132477947615449
"LPA" 0.677499598052202 0.121119033283574 0.0624003389772239 0.103813369990528
"MMP2" 0.677455264402075 0.121995053440036 0.0632763591336862 0.1449040507202
"CD244" 0.67701805661017 0.123290294271254 0.0645715999649036 0.10911390930692
"FGF13" 0.676856401954195 0.123189410317144 0.0644707160107938 0.150873335083573
"CD86" 0.676855446830675 0.122267114997937 0.0635484206915867 0.0961968104826195
"HLA-DOB" 0.676743060629661 0.119842944821176 0.0611242505148256 0.139068070471582
"SERPINE1" 0.676433361827857 0.121619494765317 0.0629008004589665 0.130637420300419
"FGF5" 0.676357827476037 0.125792314308909 0.0670736200025591 0.150939041292154
"HLA-A" 0.676288501427122 0.122644368802022 0.0639256744956718 0.144544379848642
"HGF" 0.67621495691598 0.115379433257767 0.0566607389514164 0.0808056385218728
"INHA" 0.676205485274396 0.120063047897983 0.0613443535916325 0.1488062925591
"FASLG" 0.676044467367417 0.125760672793913 0.067041978487563 0.139492518081254
"EFNB3" 0.675930648481109 0.121862218884043 0.0631435245776928 0.146617565790199
"FGB" 0.675903984616138 0.120868322679599 0.0621496283732492 0.145521883278779
"FGA" 0.675860128527788 0.120312755887632 0.0615940615812814 0.143581531461693
"APOA2" 0.675851691603355 0.120738217511573 0.0620195232052229 0.142759828483945
"CD28" 0.675810700885555 0.123451316375675 0.0647326220693243 0.105142299376826
"IL33" 0.675671810006826 0.122205429559422 0.0634867352530716 0.0965725674691937
"CXCL10" 0.675665522110321 0.122232258128114 0.0635135638217639 0.113688507196719
"DEFB103B" 0.67549216719119 0.128648620796867 0.0699299264905172 0.155546275383779
"IL36RN" 0.675472985127146 0.124275068852191 0.0655563745458412 0.128907714370741
"SPP1" 0.675410344942851 0.123224770706189 0.0645060763998391 0.106722431091505
"IL1A" 0.675301938423193 0.120459683301772 0.0617409889954216 0.0926506307658548
"FGF20" 0.675292068813472 0.123932407499303 0.0652137131929525 0.149527585775966
"IL3" 0.675220434549355 0.11548313533512 0.0567644410287697 0.116325450418895
"CD14" 0.675100248172936 0.124365190079263 0.0656464957729132 0.147737083148313
"MSN" 0.67485366711716 0.120118990464904 0.0614002961585533 0.145532753735139
"SFTPD" 0.67474908109158 0.118551153999459 0.0598324596931083 0.112737982770049
"GP5" 0.674646644093913 0.119414080867352 0.0606953865610017 0.144367641327245
"HLA-E" 0.674575805766091 0.122280638264533 0.0635619439581832 0.125266571792435
"FGF2" 0.674573656738163 0.114310214625948 0.0555915203195977 0.0870383234229267
"NTF4" 0.67431497745111 0.112901331613551 0.0541826373072008 0.0889495844968432
"CD7" 0.674225275433751 0.125639386879947 0.0669206925735964 0.12107410909883
"SIGLEC9" 0.674157780038233 0.123135011703822 0.0644163173974719 0.148889763078375
"VWF" 0.674129205926215 0.120918728786728 0.0622000344803773 0.113347600140435
"THBS4" 0.674086066180529 0.121504423732325 0.0627857294259751 0.141535235815347
"CCL8" 0.673873949165152 0.119924524168864 0.0612058298625139 0.145527691827822
"SYT1" 0.673848160830071 0.124084645326235 0.0653659510198845 0.14686764984383
"FGF16" 0.673769283545934 0.124204451028949 0.0654857567225986 0.138550155515108
"CD72" 0.673652917663588 0.119342133914579 0.0606234396082284 0.143019571237859
"FGF11" 0.673436025030622 0.123000253961482 0.0642815596551313 0.150878022475251
"L1CAM" 0.673397979277004 0.121834477593018 0.0631157832866674 0.145896918302376
"CCL5" 0.673375374686993 0.125263064213858 0.0665443699075077 0.119968227759143
"GSTP1" 0.673225340700514 0.121095792781385 0.0623770984750349 0.146897994784958
"TGFA" 0.673142881703162 0.107545401038302 0.0488267067319516 0.0387405153309341
"DEFB106B" 0.673045061135873 0.119893757836236 0.0611750635298861 0.123876274767933
"COL5A2" 0.673025560697319 0.12035312349537 0.0616344291890197 0.131197400728442
"ICAM1" 0.672985127134914 0.12400340430928 0.0652847100029295 0.129546295235749
"CRHR2" 0.672965308321835 0.121188871806104 0.0624701774997541 0.144381071741755
"COL5A3" 0.672929093221642 0.120447347212809 0.0617286529064587 0.146772438199403
"ITGB2" 0.672891922997947 0.119933096629565 0.0612144023232145 0.139796890502026
"S100A9" 0.672889057627379 0.116280056535904 0.0575613622295539 0.130889810138685
"LRFN5" 0.672805723100145 0.122982465231981 0.0642637709256309 0.147662405458316
"MMP14" 0.672793306494355 0.119827524950426 0.0611088306440757 0.135327524033254
"FGF1" 0.672764573195097 0.114106672884935 0.0553879785785847 0.0644726304907257
"S100A8" 0.672696043082462 0.12106467657634 0.0623459822699893 0.142860433457033
"TRAF2" 0.672589626403432 0.122620579504068 0.0639018851977176 0.122703999568062
"PROS1" 0.67255221739884 0.120584657384809 0.0618659630784584 0.129664026043552
"SDC2" 0.672535741518112 0.119748863437619 0.0610301691312692 0.145751011649342
"APOE" 0.672486075095008 0.118706119578557 0.0599874252722072 0.113117526890441
"FGF7" 0.672473658489228 0.117304090055984 0.0585853957496339 0.0832924169024856
"LAMA5" 0.672437841357166 0.12314119835273 0.0644225040463801 0.148818229561783
"IL1B" 0.672433145333192 0.117346366898698 0.0586276725923479 0.122544620536539
