"test_ligand" "auroc" "aupr" "aupr_corrected" "pearson"
"CD70" 0.600396076861137 0.160907009507324 0.0411840852351159 0.10411012305375
"ICOSLG" 0.600044015006675 0.16406103437826 0.0443381101060514 0.107698422087988
"CD80" 0.598326357223592 0.164368150165391 0.0446452258931824 0.0924816866127879
"VTCN1" 0.597690284672501 0.163176530039505 0.0434536057672971 0.102888025402997
"GDNF" 0.597476736231553 0.154628421822338 0.0349054975501303 0.0323412302860006
"FGF6" 0.597434749872709 0.162399508689977 0.0426765844177684 0.105986490861271
"BTLA" 0.597413839834599 0.164487519999591 0.0447645957273823 0.102743893471787
"FGF20" 0.597180129627274 0.161213950878817 0.0414910266066089 0.104536431854421
"CD274" 0.596657919092868 0.169478333923128 0.0497554096509203 0.0947583482112636
"B2M" 0.596645697321094 0.160132709629757 0.0404097853575489 0.0877657662861172
"CD86" 0.596586583853487 0.161616903711383 0.0418939794391752 0.0760261263253512
"FGF5" 0.595865540889059 0.161324551421825 0.0416016271496168 0.104022814532012
"CD28" 0.595795535910558 0.161878907470014 0.0421559831978059 0.069970061002638
"HLA-E" 0.595645133290473 0.161974932656647 0.0422520083844385 0.0970755675137357
"IL33" 0.595166904506226 0.160515221597099 0.0407922973248906 0.0559847232232436
"HLA-A" 0.59500070503827 0.161216450408285 0.0414935261360763 0.0992877420865884
"CD7" 0.594943212826112 0.159934531211538 0.0402116069393301 0.070202436579794
"FGF16" 0.594939762461971 0.160334452474228 0.0406115282020197 0.0950440012586019
"FGF1" 0.594769156504846 0.158902829313963 0.0391799050417552 0.0429247948077026
"PTH" 0.594653506950122 0.156991525732345 0.0372686014601367 0.0596679833481689
"HLA-DOB" 0.594529418552946 0.157184431629735 0.0374615073575265 0.0964436299228243
"TYROBP" 0.594439916938507 0.163080280684343 0.0433573564121343 0.10692510356455
"ARTN" 0.594293006253226 0.157903805762285 0.0381808814900772 0.0844164710583221
"INHA" 0.59412310699721 0.155522666019654 0.0357997417474455 0.0957035236396757
"VEGFD" 0.594113878312399 0.157802484251616 0.0380795599794083 0.0961235099657452
"FGF22" 0.593930094458507 0.161369914828667 0.0416469905564592 0.103758949347605
"SERPINE1" 0.593788255392791 0.158805438204509 0.0390825139323008 0.0864618900445832
"CCL5" 0.59375104965897 0.16089088883442 0.0411679645622119 0.0758755335832148
"CD22" 0.593702869272938 0.158223305288334 0.0385003810161255 0.10009028202967
"FGF3" 0.593568138788777 0.160799825472844 0.0410769012006356 0.103220843802522
"EFNB3" 0.593351056842376 0.15840180585674 0.038678881584532 0.0979866785608189
"MMP2" 0.593209716624502 0.157684146948917 0.0379612226767089 0.0984054190985143
"FGF11" 0.593170681781981 0.159606709832352 0.0398837855601434 0.101064786871822
"FGF13" 0.593165942727607 0.160668759647763 0.0409458353755551 0.103036143989625
"IL6" 0.592999660118341 0.158147696571408 0.0384247722991995 0.0445516497403286
"MPIG6B" 0.592983530705245 0.156944297114534 0.0372213728423253 0.0981840582058651
"HLA-DRA" 0.592716771829334 0.158217821516645 0.0384948972444364 0.0919785507281038
"TNFSF4" 0.592690790171636 0.155235965532748 0.0355130412605402 0.0892148109716231
"OSM" 0.592627020790974 0.156442672868565 0.036719748596357 0.0423148476282966
"FGF2" 0.592479444975254 0.15749757094991 0.037774646677702 0.0470128505879474
"FGF14" 0.592411144393494 0.160230158822696 0.0405072345504874 0.102498084449741
"FGF17" 0.592337522768246 0.158801039295355 0.0390781150231465 0.0949998533570117
"UCN3" 0.59232218319754 0.158575831257469 0.0388529069852605 0.0976284429721267
"CXCL2" 0.592293042170271 0.158589577494619 0.038866653222411 0.0804571816755226
"CD244" 0.592170741311144 0.160174401535235 0.0404514772630267 0.087555823344617
"KCNA1" 0.592115909620751 0.158819755203158 0.0390968309309496 0.0987403937938202
"IL3" 0.592098990365254 0.158649635407547 0.0389267111353383 0.0660782272638324
"TNFSF10" 0.592044449669418 0.16068049542254 0.0409575711503318 0.0494950094704415
"PLG" 0.591984837353986 0.157344199988841 0.037621275716633 0.0676618811744476
"CXCL9" 0.591849524880698 0.157939423841419 0.0382164995692107 0.0633870523482671
"TCN1" 0.591834642587165 0.154206121149923 0.0344831968777148 0.0766206995163016
"MMP9" 0.591789455288103 0.15771912395919 0.0379961996869814 0.0764642056583982
"CAMP" 0.591769917081518 0.160065900505482 0.0403429762332737 0.0702603710880001
"FGF4" 0.591750794581445 0.159591669103421 0.0398687448312132 0.0708843811186632
"SDC2" 0.591647117374573 0.159534986577831 0.0398120623056224 0.0996168886725997
"IL17F" 0.591578608939552 0.154132803989278 0.0344098797170697 0.0681848671105896
"CD2" 0.59156568046668 0.158913812003967 0.0391908877317589 0.0827054081928451
"IL4" 0.591535624885055 0.159560505424237 0.0398375811520284 0.06959922003008
"CXCL10" 0.59152938928722 0.159946452007091 0.0402235277348832 0.0823556734747372
"CCL20" 0.591516252961087 0.157076980076856 0.0373540558046482 0.0658554039361125
"PTPRC" 0.591513426156724 0.158871730042413 0.0391488057702044 0.083161430631283
"FGF19" 0.591208048144805 0.157132744863203 0.0374098205909945 0.0308937961077534
"FGF7" 0.591198819459987 0.159220848397976 0.0394979241257676 0.0538655140460658
"DEFB103B" 0.591156542106584 0.157073759062093 0.0373508347898847 0.0938969814134812
"GCG" 0.591126486524956 0.155446607620694 0.0357236833484855 0.0553816182870632
"NLGN1" 0.591083211475897 0.154005864736456 0.0342829404642477 0.0348932544334773
"IL10" 0.591046670872507 0.154474579276475 0.0347516550042672 0.0558418451127652
"UCN2" 0.590977040029886 0.157776173456226 0.0380532491840177 0.0959978698461906
"FGG" 0.590952804339576 0.1549110793917 0.0351881551194923 0.0935663732398959
"IL17A" 0.590940416285185 0.157373563226294 0.037650638954086 0.0445989994861908
"CCL26" 0.590842267975064 0.155159563781867 0.035436639509659 0.0771404460298737
"IL1A" 0.590683010806043 0.156226294205866 0.0365033699336583 0.041618340611656
"SIGLEC14" 0.590672950708175 0.162236528313399 0.0425136040411908 0.105617340074758
"ANGPTL4" 0.590660728936402 0.154133664372887 0.0344107401006793 0.0395972833275405
"CCL17" 0.590557467436051 0.158068381016171 0.0383454567439631 0.097185923454219
"FGFRL1" 0.590522922223973 0.156803292300599 0.0370803680283905 0.095857618776387
"FST" 0.590502344751064 0.154467857061971 0.0347449327897628 0.0842283436136035
"NGF" 0.590437494533455 0.157136971409124 0.0374140471369154 0.0476955636979466
"FGF18" 0.590426187316034 0.155980744129904 0.0362578198576962 0.0562013266459623
"KIR2DL5A" 0.590402866180077 0.157552867692012 0.0378299434198041 0.0962965222440455
"GP5" 0.590388815299598 0.155356543650055 0.0356336193778469 0.093832235895922
"KITLG" 0.590335064446155 0.157017423176888 0.0372944989046802 0.0631574227076099
"SPP1" 0.59031864403849 0.156669025427844 0.0369461011556358 0.0648791948015065
"ITGB1" 0.590301101223216 0.156088853630769 0.0363659293585613 0.0828451427218229
"APOA2" 0.590290500706872 0.154776651774334 0.0350537275021254 0.0926724209554275
"CXCL11" 0.590239244092555 0.157116468473572 0.0373935442013643 0.0820129094032712
"CD1B" 0.590185451668467 0.157809567165774 0.038086642893566 0.0978145577265993
"CRHR2" 0.590178758793444 0.156561028825756 0.0368381045535475 0.0939669324529852
"VSIG10" 0.590167202152099 0.159792528994648 0.0400696047224401 0.100590245705077
"HLA-DRB1" 0.590137520706346 0.155805599947525 0.0360826756753171 0.0806718108691186
"PDGFA" 0.590075331010467 0.150926248157059 0.0312033238848509 0.0347418039152957
"PDYN" 0.590075206298517 0.157635587007885 0.0379126627356769 0.0941579656756657
"SEMA6D" 0.590057372488677 0.156375575424647 0.036652651152439 0.0992674487060428
"L1CAM" 0.590018711782016 0.15574150723744 0.0360185829652317 0.0928713822450552
"FGF10" 0.589907468716422 0.154225977751626 0.0345030534794183 0.0330674537521978
"IL36RN" 0.589901856678354 0.157612511513942 0.0378895872417339 0.0814058562154932
"TDGF1P3" 0.589893002129414 0.153540223463246 0.0338172991910378 0.0898755947869454
"CCL22" 0.589859246759737 0.157995067467015 0.0382721431948071 0.0919062992735705
"IL1F10" 0.58985687723255 0.154092211825098 0.0343692875528902 0.0920142437329295
"MICB" 0.589848854096653 0.155982322330416 0.0362593980582079 0.0766474092654886
"VTN" 0.58982790248788 0.158930683391908 0.0392077591196997 0.0936244728670891
"PSG7" 0.589743098357161 0.156003538638527 0.0362806143663186 0.0949675055302444
"GZMB" 0.589729546324511 0.155940492224598 0.0362175679523898 0.0949370861367944
"EFNA3" 0.58963085759591 0.154574885699904 0.0348519614276961 0.0840218520404854
"LPA" 0.589626118541548 0.155807217461004 0.0360842931887954 0.0735440378723373
"SEMA3F" 0.589619176242606 0.155403426603176 0.0356805023309679 0.0911767972106209
"SEMA4A" 0.589597019084912 0.155446859137627 0.0357239348654186 0.0862284862916719
"CCL4L1" 0.589589120660985 0.156369720070343 0.036646795798135 0.0937007335821363
"CCL11" 0.589494007008484 0.158153984540291 0.0384310602680832 0.0981746670928937
"EFNB2" 0.589489434236722 0.155767324391228 0.0360444001190201 0.0939704494511076
"FASLG" 0.589477254035585 0.159267811797862 0.0395448875256533 0.084179238970103
"GDF10" 0.589475591209503 0.15371186790304 0.0339889436308315 0.0804464490676653
"LAMB2" 0.589439882019158 0.154378829380513 0.0346559051083051 0.0943338416302687
"CCN2" 0.589408122040798 0.157296523529372 0.0375735992571634 0.0802261972242544
"IL13" 0.589372204997192 0.155562776726071 0.0358398524538628 0.0482953113191801
"HLA-DRB5" 0.589370874736316 0.158832311265363 0.0391093869931545 0.0991866573598125
"PDCD1LG2" 0.589362394323244 0.158287470307955 0.0385645460357468 0.0944246166514312
"FGF9" 0.589338449627513 0.155795683998889 0.0360727597266813 0.0887886932087473
"LRFN5" 0.589303488708911 0.154130160461392 0.0344072361891836 0.0918883406243102
"LAMA3" 0.589293927458875 0.15586589523847 0.0361429709662617 0.0951477183206267
"IL2" 0.589240841735872 0.15401750969899 0.034294585426782 0.0470577864354883
"NLGN4X" 0.589230615355394 0.154425077913186 0.0347021536409782 0.0930329669458232
"HAPLN1" 0.589216398192306 0.155966137275583 0.0362432130033745 0.0909268968222359
"ICAM1" 0.589199271083554 0.159217958326295 0.0394950340540863 0.0838843758890619
"IL15" 0.58919843967051 0.163221210695759 0.0434982864235504 0.0841397817562152
"NLGN4Y" 0.589193326480275 0.153941495208917 0.0342185709367089 0.0923024939463381
"CCL8" 0.589188919991124 0.157938452623639 0.0382155283514306 0.0967917234595311
"SIGLEC9" 0.589159529539938 0.156339617327002 0.0366166930547943 0.095083137552559
"LGALS1" 0.589135501702905 0.155455349424664 0.0357324251524557 0.0692974077830111
"EFNA1" 0.589131053643095 0.156612186311447 0.036889262039239 0.0951586255897448
"PSG4" 0.589094720892978 0.154417950685622 0.0346950264134133 0.086074990796136
"WNT3A" 0.589069030229847 0.155037131970716 0.0353142076985075 0.0413419443917321
"EPO" 0.589057432017845 0.154328112530401 0.0346051882581931 0.0385560386055175
"HLA-DQB1" 0.589056101756972 0.156464970112259 0.0367420458400504 0.0830102041864151
"XCL1" 0.58894785177834 0.157460233707352 0.0377373094351435 0.096919228029662
"ADAM17" 0.588939537647879 0.162243747181507 0.042520822909299 0.07565527754022
"CD40" 0.58890811023473 0.164204214989077 0.0444812907168684 0.0782248459321488
"ITGB2" 0.588861301680219 0.155473076552384 0.0357501522801761 0.0889880655250432
"LIF" 0.588857144614991 0.157133224436039 0.0374103001638312 0.0532636309624538
"PRND" 0.588816779511579 0.155506888897346 0.0357839646251377 0.0935769788939233
"KL" 0.588807509256123 0.156080561207657 0.0363576369354487 0.0898866245414228
"NCR3LG1" 0.588783065712557 0.157251290843514 0.0375283665713056 0.0964243070076437
"SEMA3D" 0.588772506766875 0.154162423036681 0.0344394987644724 0.0906706210505911
"FGB" 0.588765522897283 0.155277455695502 0.0355545314232943 0.0927227151044924
"PROS1" 0.588742368043939 0.156269111901723 0.0365461876295147 0.0848083572499572
"NLGN3" 0.588739499668927 0.152029152578008 0.0323062283058002 0.0266040987109531
"ADAM2" 0.588733264071086 0.155287441852873 0.0355645175806645 0.0918566631816228
"IFNA6" 0.588695601060086 0.15854885650494 0.0388259322327315 0.0987606071011287
"S100A8" 0.588682132168734 0.155820970236483 0.0360980459642748 0.0915930709694911
"TGFB3" 0.588657938049089 0.155153970915474 0.0354310466432663 0.0502903279816422
"ADAM23" 0.588645259000132 0.157128206840126 0.0374052825679181 0.0947133892618462
"MCAM" 0.588642681619691 0.155168090643309 0.0354451663711013 0.0860513812824867
"WNT6" 0.588637360576191 0.15467707275291 0.034954148480702 0.0658216117349744
"CXCL12" 0.588629836288112 0.154836953222168 0.0351140289499598 0.0424060660087814
"VWF" 0.588563073820501 0.155622690546595 0.0358997662743864 0.0794212310888503
"TGFA" 0.588522625575795 0.151430745803931 0.0317078215317229 0.0175524080736064
"ARF1" 0.588511193646414 0.154205929897794 0.0344830056255861 0.0921787937518185
"BMP7" 0.588505373755082 0.1549577750185 0.0352348507462916 0.0553400884096172
"HLA-DQA2" 0.588503669358342 0.152469400771052 0.0327464764988434 0.0784167689689759
"DCN" 0.588499927999627 0.155165658997179 0.0354427347249704 0.0848396836817567
"MANSC1" 0.588497600043101 0.155496123812901 0.0357731995406929 0.0932475193836356
"SELL" 0.588492362140906 0.155665953251837 0.0359430289796291 0.0610671371632787
"CD48" 0.588454740700554 0.157114144446369 0.0373912201741607 0.0716984579411902
"WNT1" 0.588425474961336 0.153958651981263 0.0342357277090552 0.0421945800044561
"NRXN2" 0.588409927537366 0.153263435679146 0.0335405114069379 0.077897492489771
"LAMC3" 0.588369770287233 0.154582952018538 0.0348600277463294 0.0932164433155392
"COL5A3" 0.588360957308941 0.153808253655861 0.0340853293836526 0.0921558217641904
"PENK" 0.588354222863257 0.156341522416514 0.036618598144306 0.0841447181357955
"COL6A5" 0.588331940993618 0.154796531602101 0.0350736073298932 0.092542057041031
"GNAS" 0.588310906243548 0.15603392068032 0.0363109964081116 0.0822879534935645
"PLXNA1" 0.588305751482664 0.153780165912658 0.0340572416404498 0.0890333303622647
"GSTP1" 0.588295691384801 0.154838381790315 0.0351154575181065 0.0927928803324485
"NRXN3" 0.588290495053265 0.153059597617245 0.0333366733450373 0.0916441864155478
"S100A9" 0.58825229162378 0.153867581701639 0.0341446574294306 0.083376515408887
"SYT1" 0.588163704563697 0.155413581134536 0.0356906568623282 0.0890285842066212
"COL4A1" 0.588152813052789 0.153756923849512 0.0340339995773035 0.071904271208484
"CXCL13" 0.588123588884207 0.155997084942969 0.0362741606707604 0.0804258077781532
"FCAR" 0.588081519384059 0.154866690829976 0.0351437665577682 0.083445383518307
"LILRB2" 0.588069463894885 0.155995940748784 0.0362730164765756 0.0935475610294724
"HLA-DQB2" 0.58804772244373 0.156800005004164 0.0370770807319561 0.0798135633331894
"COL5A1" 0.588024193454523 0.154391722464603 0.0346687981923949 0.0746219513657819
"SIGLEC7" 0.588014798487093 0.156708736635007 0.0369858123627991 0.0942138154601199
"CXCL16" 0.588009726867515 0.155598953299952 0.0358760290277437 0.0583239640687222
"CD79B" 0.587973227834776 0.157187886720269 0.0374649624480613 0.0982074971359124
"FGA" 0.587913823372618 0.154805414867499 0.0350824905952906 0.0906293102953779
"IFNA13" 0.587890294383407 0.158063445297214 0.0383405210250058 0.07964117536608
"OMG" 0.587882977948597 0.154518761715379 0.0347958374431709 0.0645636765412103
"MMP1" 0.587871296595295 0.153326353057576 0.033603428785368 0.0878942612595281
"CNTN6" 0.587816672758159 0.153900882735597 0.0341779584633891 0.0916553015088803
"APOE" 0.587798838948309 0.153349368851778 0.0336264445795697 0.068870723882367
"COL28A1" 0.587790233823283 0.153934915354289 0.0342119910820804 0.0907913781028549
"TRAF2" 0.587760427665565 0.156175807806311 0.0364528835341026 0.0832164996828322
"CEACAM1" 0.587731078785031 0.154033868105972 0.0343109438337639 0.0805550233828088
"PTHLH" 0.587719522143689 0.153100268950213 0.0333773446780051 0.0369916963912033
"PSG6" 0.587702810741453 0.154297110695167 0.034574186422959 0.0917439410770551
"CCL25" 0.587697032420791 0.155530890299156 0.0358079660269481 0.0659488221621787
"EZR" 0.58768011316529 0.155188038306803 0.0354651140345949 0.0853618272801761
"HAVCR1" 0.5876588289913 0.155472432495342 0.0357495082231334 0.0934543602033805
"MMP14" 0.587644071409733 0.15472823173394 0.0350053074617317 0.0874364787970461
"EFNB1" 0.587636422409714 0.154676334891191 0.0349534106189832 0.0912174361198812
"FGF12" 0.587591650817159 0.15598431391958 0.0362613896473722 0.0932338651220568
"GHRH" 0.587588366735633 0.15403385423765 0.0343109299654414 0.0796762411211366
"SIGLEC5" 0.587566001724684 0.153765510168021 0.034042585895813 0.0910026063281455
"NTF3" 0.587544883833308 0.151963609689028 0.0322406854168201 0.0163644159170391
"GGT1" 0.587523183952795 0.154463182197772 0.0347402579255639 0.0923870642332311
"HLA-DRB4" 0.587514163121245 0.15294377123844 0.0332208469662314 0.0738659251951542
"CD72" 0.587511170034274 0.155236660160945 0.0355137358887367 0.0919647640013395
"GUCY2D" 0.587505765849483 0.152982716514759 0.0332597922425511 0.0771213577644035
"ITGAM" 0.58747163634392 0.154738528402617 0.0350156041304092 0.087420065202249
"IL1B" 0.58744365929491 0.156065144030389 0.0363422197581804 0.0628225825909314
"CTF1" 0.587443326729698 0.154404963536626 0.0346820392644178 0.0836292848536889
"PYY" 0.587417636066565 0.155459213977943 0.0357362897057351 0.0924303280162733
"ACE2" 0.58741510025677 0.155265182176754 0.0355422579045459 0.0951662615548865
"HLA-G" 0.587412481305669 0.158232365636309 0.0385094413641012 0.0793579632867759
"COL4A4" 0.58737643955012 0.154089077735673 0.0343661534634652 0.0814739685334403
"RGMA" 0.587371326359886 0.152932412726077 0.0332094884538691 0.0866264981621402
"ITGA4" 0.587355903647873 0.15358860215665 0.0338656778844415 0.0770108188284365
"COL11A2" 0.587285940240031 0.153985540968338 0.0342626166961294 0.0771392555476987
"SFTPD" 0.587257838479057 0.154262850905304 0.0345399266330959 0.0695962190697638
"LAMC2" 0.587207787413666 0.154671634010367 0.0349487097381588 0.0938341397093412
"MSN" 0.587183094446196 0.153721812391014 0.0339988881188062 0.0920704430017781
"LRRC4B" 0.58718301130489 0.154781137266781 0.0350582129945728 0.0929542621333294
"HLA-B" 0.587155948810232 0.155557270440767 0.035834346168559 0.0940248551834643
"F2" 0.587118202657932 0.154298865540605 0.0345759412683967 0.0540599770842012
"WNT2" 0.587085902261077 0.155118244863452 0.0353953205912437 0.0727894858777113
"CCL4" 0.587077629701272 0.156732720472626 0.0370097962004183 0.067967773033507
"SEMA3B" 0.587064119239266 0.152671722587206 0.0329487983149979 0.0740813550033542
"TFPI" 0.587051232337047 0.155759417822257 0.0360364935500488 0.0653138526951572
"COL27A1" 0.587040299255483 0.154224658839906 0.0345017345676974 0.0918491754110856
"NLGN2" 0.587022507016291 0.153395688695822 0.0336727644236134 0.0924137070053177
"IL12A" 0.587021135184772 0.163618977380413 0.0438960531082048 0.0810504551306565
"IZUMO1" 0.586995610804246 0.154624211117958 0.0349012868457499 0.0866970326000313
"WNT5A" 0.586969296581331 0.155584594974989 0.0358616707027805 0.0466308395089805
"CXCL14" 0.586945102461684 0.156590990019243 0.0368680657470344 0.09440234125803
"TGFB2" 0.586921947608339 0.150724604089776 0.0310016798175675 0.0397989882833715
"AIMP1" 0.586857554667906 0.153087606765728 0.0333646824935194 0.0591080380362964
"SEMA3G" 0.586857513097255 0.154390373561088 0.0346674492888799 0.0893660103475819
"NTF4" 0.586847369858088 0.150909488634538 0.0311865643623303 0.0314918510469686
"LGI1" 0.586834191961303 0.155479054143925 0.0357561298717168 0.0899062753670123
"CCL7" 0.586831282015643 0.155572322239204 0.0358493979669954 0.0943837429752199
"HGF" 0.586820681499295 0.154049030302822 0.0343261060306138 0.0429069271328401
"HSPG2" 0.586781979221995 0.153998834763538 0.0342759104913294 0.0804583411479578
"CD200" 0.586781812939378 0.153000040743519 0.0332771164713106 0.0818079434241881
"CCL21" 0.586767263211077 0.155851201785873 0.0361282775136647 0.0683540736973443
"IL9" 0.586735627944655 0.156910838188869 0.0371879139166605 0.0901648325208051
"HLA-C" 0.586731678732694 0.156010551588267 0.036287627316059 0.0942482033641307
"CCL13" 0.586708357596745 0.155995824239285 0.0362728999670764 0.0658783169298637
"EFNA4" 0.586703660113033 0.155326064031522 0.0356031397593137 0.0841751347682738
"IGF1" 0.586691313629289 0.150900100063888 0.0311771757916799 0.0465888475474517
