"","gene_short_name","term","q_value","normalized_effect"
"112","AC004847.1","tissueLP",1,-0.174588241989275
"113","AC004854.2","tissueLP",3.46907860223065e-11,-0.969262610566468
"114","AC004865.2","tissueLP",1,-1.1405574656462
"115","AC004895.1","tissueLP",0.000173238759933582,2.4157039265066e-11
"116","AC004906.1","tissueLP",1,-0.392707066916054
"117","AC004917.1","tissueLP",1,-0.311424517395735
"118","AC004938.2","tissueLP",0.00374092317111617,-1.25219942365107
"119","AC004943.2","tissueLP",0.541619203899717,-0.517434469346359
"120","AC004951.1","tissueLP",1,-0.430700346920458
"121","AC004974.1","tissueLP",1,-0.334995078114542
"122","AC005037.1","tissueLP",1,-0.000812660985094399
"123","AC005041.5","tissueLP",1,-0.403015389663914
"124","AC005052.2","tissueLP",6.80009753094793e-06,-0.916354927418121
"125","AC005070.3","tissueLP",1,0.0961648635183974
"126","AC005083.1","tissueLP",1,0.0137774068436551
"127","AC005225.2","tissueLP",0.000860717291853079,-0.822484294102773
"128","AC005229.4","tissueLP",1,-0.356521398099207
"129","AC005237.1","tissueLP",1,-0.445202392427155
"130","AC005261.1","tissueLP",1,0.370665813177856
"131","AC005264.1","tissueLP",7.97638639792293e-07,-0.995084737741457
"132","AC005332.1","tissueLP",1,-0.388937033936923
"133","AC005332.4","tissueLP",0.528532715921646,-0.481658644227112
"134","AC005332.5","tissueLP",1,0.700266319129015
"135","AC005332.6","tissueLP",1,0.317352335409501
"136","AC005355.1","tissueLP",0.190726316488721,-0.719367895057415
"137","AC005363.2","tissueLP",0.0669380282488242,-0.888709998074404
"138","AC005400.1","tissueLP",1,0.587779547505703
"139","AC005476.2","tissueLP",0.0214879080442823,-0.718992034624832
"140","AC005480.1","tissueLP",1,0.143565444137154
"141","AC005498.3","tissueLP",1,-0.0226983999313943
"142","AC005520.2","tissueLP",0.00228182638803844,-0.804870899073747
"143","AC005523.2","tissueLP",1,0.207462151204379
"144","AC005532.1","tissueLP",0.00734981337260267,-0.818553857815265
"145","AC005540.1","tissueLP",1,-0.322537421348186
"146","AC005562.1","tissueLP",1,-0.131114811387146
"147","AC005614.1","tissueLP",1,-0.576331150954376
"148","AC005632.3","tissueLP",0.399974659256674,-0.527471912056914
"149","AC005670.3","tissueLP",0.0156121388852148,-0.51339828760171
"150","AC005695.2","tissueLP",0.000173238759933582,2.4157039265066e-11
"151","AC005726.1","tissueLP",1,-0.0111628990793325
"152","AC005786.3","tissueLP",1,-0.37980446527528
"153","AC005808.1","tissueLP",1,-0.236653318793805
"154","AC005833.2","tissueLP",0.100771058784715,-0.584952441603987
"155","AC005837.1","tissueLP",0.00166491763393053,-1.10062616461703
"156","AC005842.1","tissueLP",3.47769390239617e-07,-0.92003632594869
"157","AC005856.1","tissueLP",1,0.020109174774909
"158","AC005899.8","tissueLP",1,-0.219837337890885
"159","AC005920.2","tissueLP",0.0136081434858323,0.695326453343999
"160","AC005944.1","tissueLP",1,-0.40184653551528
"161","AC005972.3","tissueLP",1,-0.640230285293083
"162","AC006001.2","tissueLP",1,-0.046793560737672
"163","AC006042.2","tissueLP",1,-0.882262221885842
"164","AC006059.1","tissueLP",1,-0.273138006237027
"165","AC006064.2","tissueLP",1,0.411622862540763
"166","AC006064.4","tissueLP",1,-0.194180825362668
"167","AC006064.5","tissueLP",1,0.0550473404010414
"168","AC006141.1","tissueLP",1,0.170820436232204
"169","AC006160.1","tissueLP",1,0.00604200315045945
"170","AC006207.1","tissueLP",2.93226558063406e-05,-0.835528598912656
"171","AC006213.2","tissueLP",0.00899452141119744,-0.755523485234278
"172","AC006252.1","tissueLP",1,-0.62489434439901
"173","AC006299.1","tissueLP",1,-0.271435487547378
"174","AC006333.2","tissueLP",1,-0.493387756219272
"175","AC006369.1","tissueLP",1.52060335408781e-10,-0.535501551114625
"176","AC006372.3","tissueLP",1,-0.652798001081813
"177","AC006387.1","tissueLP",1,0.020109174774909
"178","AC006449.6","tissueLP",1,-0.11351767250223
"179","AC006460.1","tissueLP",1,0.609467553379837
"180","AC006460.2","tissueLP",1,0.012781162085777
"181","AC006504.5","tissueLP",1,-0.235662872973964
"182","AC006511.6","tissueLP",0.000907287633987107,-1.43352106623566
"183","AC006581.1","tissueLP",0.00555000730526973,-1.73657571778903
"184","AC006581.2","tissueLP",1,-0.53779128280851
"185","AC006942.1","tissueLP",0.00522496970006674,-0.712171927851509
"186","AC006960.2","tissueLP",1,-0.0428075755054066
"187","AC006994.2","tissueLP",0.000528894418058771,-1.15780455002417
"188","AC007032.1","tissueLP",1,-0.243427320018165
"189","AC007038.1","tissueLP",0.000173238759933582,2.4157039265066e-11
"190","AC007114.1","tissueLP",1,-0.417801432947387
"191","AC007163.1","tissueLP",0.000701482718998894,-0.835349485236516
"192","AC007216.4","tissueLP",1,-0.325845745662626
"193","AC007262.2","tissueLP",0.505736404549842,-0.565388649292541
"194","AC007349.2","tissueLP",0.000173238759933582,2.4157039265066e-11
"195","AC007349.3","tissueLP",1,-0.202364741144888
"196","AC007365.1","tissueLP",1,-0.487438564247883
"197","AC007383.2","tissueLP",1,-0.235675356972663
"198","AC007384.1","tissueLP",1,0.168441725032629
"199","AC007448.4","tissueLP",1,-0.532830921167207
"200","AC007448.5","tissueLP",0.0416197428983348,-0.975444894791177
