PB top clones,TRBV10-1,TRBV10-2,TRBV10-3,TRBV11-1,TRBV11-2,TRBV11-3,TRBV12-3,TRBV12-4,TRBV12-5,TRBV13,TRBV14,TRBV15,TRBV16,TRBV18,TRBV19,TRBV2,TRBV20-1,TRBV24-1,TRBV25-1,TRBV27,TRBV28,TRBV29-1,TRBV3-1,TRBV30,TRBV4-1,TRBV4-2,TRBV4-3,TRBV5-1,TRBV5-4,TRBV5-5,TRBV5-6,TRBV5-7,TRBV5-8,TRBV6-1,TRBV6-2,TRBV6-4,TRBV6-5,TRBV6-6,TRBV6-7,TRBV6-8,TRBV6-9,TRBV7-2,TRBV7-3,TRBV7-4,TRBV7-6,TRBV7-7,TRBV7-8,TRBV7-9,TRBV9
1-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.5277777777777778,0.0
11-100,0.0,0.016574585635359115,0.011049723756906077,0.0,0.011049723756906077,0.0,0.022099447513812154,0.016574585635359115,0.016574585635359115,0.0,0.0,0.011049723756906077,0.0,0.011049723756906077,0.06629834254143646,0.022099447513812154,0.13812154696132597,0.04419889502762431,0.0,0.04419889502762431,0.055248618784530384,0.011049723756906077,0.08839779005524862,0.055248618784530384,0.0,0.0,0.0,0.03314917127071823,0.0,0.0,0.03867403314917127,0,0.011049723756906077,0.022099447513812154,0.04419889502762431,0.0,0.03867403314917127,0.011049723756906077,0.0,0.0,0,0.011049723756906077,0.0,0,0.0,0.0,0.0718232044198895,0.07734806629834254,0.0
100+,0.008067769261799113,0.004437273093989512,0.022589753933037516,0.0052440500201694235,0.021379588543767647,0.0028237192416296895,0.035498184751916094,0.022589753933037516,0.0052440500201694235,0.0024203307785397336,0.010891488503428802,0.006857603872529245,0.0012101653892698668,0.04033884630899556,0.03227107704719645,0.03791851553045583,0.09681323114158935,0.016135538523598225,0.01008471157724889,0.024203307785397338,0.045986284792254944,0.02016942315449778,0.03428801936264623,0.029850746268656716,0.022589753933037516,0.011698265429608713,0.014521984671238403,0.07301331181928197,0.012101653892698669,0.007664380798709157,0.01936264622831787,0,0.0028237192416296895,0.03670835014118596,0.03146430012101654,0.003630496167809601,0.045582896329164985,0.023396530859217425,0.0004033884630899556,0.0004033884630899556,0,0.05889471561113352,0.008874546187979023,0,0.007664380798709157,0.0024203307785397336,0.014118596208148447,0.04477611940298507,0.020572811617587738
