LP top clones,TRBV10-1,TRBV10-2,TRBV10-3,TRBV11-1,TRBV11-2,TRBV11-3,TRBV12-3,TRBV12-4,TRBV12-5,TRBV13,TRBV14,TRBV15,TRBV16,TRBV18,TRBV19,TRBV2,TRBV20-1,TRBV24-1,TRBV25-1,TRBV27,TRBV28,TRBV29-1,TRBV3-1,TRBV30,TRBV4-1,TRBV4-2,TRBV4-3,TRBV5-1,TRBV5-4,TRBV5-5,TRBV5-6,TRBV5-7,TRBV5-8,TRBV6-1,TRBV6-2,TRBV6-4,TRBV6-5,TRBV6-6,TRBV6-7,TRBV6-8,TRBV6-9,TRBV7-2,TRBV7-3,TRBV7-4,TRBV7-6,TRBV7-7,TRBV7-8,TRBV7-9,TRBV9
1-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.14583333333333334,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14583333333333334,0.0,0.0,0,0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.125,0.0,0.041666666666666664,0.10416666666666667,0.10416666666666667
11-100,0.0,0.010362694300518135,0.010362694300518135,0.0,0.02072538860103627,0.0,0.010362694300518135,0.0051813471502590676,0.0,0.0051813471502590676,0.015544041450777202,0.015544041450777202,0.0,0.04145077720207254,0.05699481865284974,0.015544041450777202,0.19689119170984457,0.0,0.0,0.04145077720207254,0.06217616580310881,0.025906735751295335,0.08290155440414508,0.02072538860103627,0.025906735751295335,0.015544041450777202,0.0,0.02072538860103627,0.046632124352331605,0.0,0.0,0,0,0.0,0.010362694300518135,0.0,0.010362694300518135,0.010362694300518135,0.0,0.0,0,0.046632124352331605,0.0,0,0.02072538860103627,0.0,0.05181347150259067,0.05181347150259067,0.05181347150259067
100+,0.004651162790697674,0.0031007751937984496,0.017054263565891473,0.007751937984496124,0.04496124031007752,0.010852713178294573,0.027906976744186046,0.020155038759689922,0.010852713178294573,0.007751937984496124,0.013953488372093023,0.010852713178294573,0.0015503875968992248,0.05426356589147287,0.02945736434108527,0.021705426356589147,0.10232558139534884,0.007751937984496124,0.010852713178294573,0.02635658914728682,0.04186046511627907,0.034108527131782945,0.040310077519379844,0.04496124031007752,0.018604651162790697,0.012403100775193798,0.018604651162790697,0.07286821705426356,0.018604651162790697,0.006201550387596899,0.012403100775193798,0,0,0.021705426356589147,0.017054263565891473,0.006201550387596899,0.027906976744186046,0.010852713178294573,0.0015503875968992248,0.0031007751937984496,0,0.06046511627906977,0.007751937984496124,0,0.0031007751937984496,0.004651162790697674,0.012403100775193798,0.05736434108527132,0.010852713178294573
