L top clones,TRBV10-1,TRBV10-2,TRBV10-3,TRBV11-1,TRBV11-2,TRBV11-3,TRBV12-3,TRBV12-4,TRBV12-5,TRBV13,TRBV14,TRBV15,TRBV16,TRBV18,TRBV19,TRBV2,TRBV20-1,TRBV24-1,TRBV25-1,TRBV27,TRBV28,TRBV29-1,TRBV3-1,TRBV30,TRBV4-1,TRBV4-2,TRBV4-3,TRBV5-1,TRBV5-4,TRBV5-5,TRBV5-6,TRBV5-7,TRBV5-8,TRBV6-1,TRBV6-2,TRBV6-4,TRBV6-5,TRBV6-6,TRBV6-7,TRBV6-8,TRBV6-9,TRBV7-2,TRBV7-3,TRBV7-4,TRBV7-6,TRBV7-7,TRBV7-8,TRBV7-9,TRBV9
1-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14965986394557823,0,0.0,0.0,0.0,0.0,0.0,0.013605442176870748,0.11564625850340136,0.14285714285714285,0.0,0.0,0.10204081632653061,0.0,0.0,0.0,0.0,0.4013605442176871,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.05442176870748299,0.0,0.02040816326530612,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
11-100,0.0,0.0297029702970297,0.03217821782178218,0.0,0.03217821782178218,0.007425742574257425,0.0,0.04702970297029703,0,0.0,0.0,0.027227722772277228,0.022277227722772276,0.0049504950495049506,0.039603960396039604,0.04702970297029703,0.0297029702970297,0.022277227722772276,0.0,0.012376237623762377,0.10643564356435643,0.019801980198019802,0.06683168316831684,0.03712871287128713,0.03217821782178218,0.0024752475247524753,0.012376237623762377,0.04455445544554455,0.012376237623762377,0.0,0.022277227722772276,0,0.039603960396039604,0.039603960396039604,0.039603960396039604,0.007425742574257425,0.0,0.0,0,0,0,0.012376237623762377,0.017326732673267328,0,0.0,0,0.034653465346534656,0.06435643564356436,0.034653465346534656
100+,0.02178649237472767,0.008714596949891068,0.006535947712418301,0.002178649237472767,0.0392156862745098,0.010893246187363835,0.034858387799564274,0.023965141612200435,0,0.008714596949891068,0.004357298474945534,0.013071895424836602,0.0,0.032679738562091505,0.030501089324618737,0.032679738562091505,0.13071895424836602,0.008714596949891068,0.006535947712418301,0.0457516339869281,0.02832244008714597,0.032679738562091505,0.032679738562091505,0.02178649237472767,0.006535947712418301,0.010893246187363835,0.010893246187363835,0.04793028322440087,0.015250544662309368,0.004357298474945534,0.017429193899782137,0,0.013071895424836602,0.026143790849673203,0.026143790849673203,0.0196078431372549,0.054466230936819175,0.017429193899782137,0,0,0,0.034858387799564274,0.0,0,0.008714596949891068,0,0.015250544662309368,0.0784313725490196,0.015250544662309368
