PB top clones,TRBV10-1,TRBV10-2,TRBV10-3,TRBV11-1,TRBV11-2,TRBV11-3,TRBV12-3,TRBV12-4,TRBV12-5,TRBV13,TRBV14,TRBV15,TRBV16,TRBV18,TRBV19,TRBV2,TRBV20-1,TRBV24-1,TRBV25-1,TRBV27,TRBV28,TRBV29-1,TRBV3-1,TRBV30,TRBV4-1,TRBV4-2,TRBV4-3,TRBV5-1,TRBV5-4,TRBV5-5,TRBV5-6,TRBV5-7,TRBV5-8,TRBV6-1,TRBV6-2,TRBV6-4,TRBV6-5,TRBV6-6,TRBV6-7,TRBV6-8,TRBV6-9,TRBV7-2,TRBV7-3,TRBV7-4,TRBV7-6,TRBV7-7,TRBV7-8,TRBV7-9,TRBV9
1-10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.07142857142857142,0.0,0.0,0.0,0,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
11-100,0,0.0,0.0,0.06666666666666667,0.0,0.0,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.0,0.0,0.016666666666666666,0.0,0.03333333333333333,0.11666666666666667,0.06666666666666667,0.13333333333333333,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.016666666666666666,0.03333333333333333,0.0,0.03333333333333333,0.03333333333333333,0.05,0.0,0.0,0,0.0,0.016666666666666666,0.03333333333333333,0.0,0.0,0.06666666666666667,0,0,0,0.05,0.0,0,0.05,0.0,0.0,0.05,0.05
100+,0,0.0017371163867979154,0.02026635784597568,0.009264620729588882,0.021424435437174292,0.02026635784597568,0.024898668210770122,0.023161551823972205,0.004053271569195136,0.006948465547191662,0.010422698320787493,0.013317892298784018,0.0005790387955993051,0.021424435437174292,0.06369426751592357,0.03474232773595831,0.09554140127388536,0.004053271569195136,0.007527504342790967,0.018529241459177764,0.012159814707585408,0.024319629415170817,0.0335842501447597,0.019687319050376375,0.016213086276780544,0.022003474232773594,0.020845396641574986,0.06253618992472496,0.009843659525188187,0.009843659525188187,0.022003474232773594,0,0.0028951939779965257,0.026635784597568036,0.05211349160393746,0.0052113491603937466,0.023161551823972205,0.0225825130283729,0,0,0,0.08627678054429647,0.017371163867979156,0,0.010422698320787493,0.004053271569195136,0.01447596988998263,0.05327156919513607,0.026635784597568036
