L top clones,TRBV10-1,TRBV10-2,TRBV10-3,TRBV11-1,TRBV11-2,TRBV11-3,TRBV12-3,TRBV12-4,TRBV12-5,TRBV13,TRBV14,TRBV15,TRBV16,TRBV18,TRBV19,TRBV2,TRBV20-1,TRBV24-1,TRBV25-1,TRBV27,TRBV28,TRBV29-1,TRBV3-1,TRBV30,TRBV4-1,TRBV4-2,TRBV4-3,TRBV5-1,TRBV5-4,TRBV5-5,TRBV5-6,TRBV5-7,TRBV5-8,TRBV6-1,TRBV6-2,TRBV6-4,TRBV6-5,TRBV6-6,TRBV6-7,TRBV6-8,TRBV6-9,TRBV7-2,TRBV7-3,TRBV7-4,TRBV7-6,TRBV7-7,TRBV7-8,TRBV7-9,TRBV9
1-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.13793103448275862,0.05172413793103448,0.20689655172413793,0.0,0.0,0.3103448275862069,0.0,0.0,0.0,0.0,0.017241379310344827,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.2413793103448276,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
11-100,0.0,0.0,0.004032258064516129,0.0,0.008064516129032258,0.016129032258064516,0.0,0.024193548387096774,0.0,0.0,0.0,0.0,0.0,0.008064516129032258,0.0,0.0846774193548387,0.04838709677419355,0.0,0.0,0.008064516129032258,0.08064516129032258,0.0,0.10483870967741936,0.008064516129032258,0.06451612903225806,0.0,0.004032258064516129,0.10887096774193548,0.06854838709677419,0,0.016129032258064516,0,0.056451612903225805,0.07258064516129033,0.012096774193548387,0.012096774193548387,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.036290322580645164,0.036290322580645164,0.11693548387096774
100+,0.006109979633401222,0.008146639511201629,0.008146639511201629,0.004073319755600814,0.032586558044806514,0.016293279022403257,0.03665987780040733,0.026476578411405296,0.002036659877800407,0.002036659877800407,0.016293279022403257,0.010183299389002037,0.002036659877800407,0.04684317718940937,0.026476578411405296,0.038696537678207736,0.12830957230142567,0.016293279022403257,0.002036659877800407,0.028513238289205704,0.04480651731160896,0.026476578411405296,0.034623217922606926,0.03665987780040733,0.018329938900203666,0.012219959266802444,0.004073319755600814,0.06313645621181263,0.018329938900203666,0,0.008146639511201629,0,0.010183299389002037,0.018329938900203666,0.024439918533604887,0.008146639511201629,0.04684317718940937,0.018329938900203666,0,0,0,0.06924643584521385,0.006109979633401222,0,0.010183299389002037,0.002036659877800407,0.018329938900203666,0.020366598778004074,0.02240325865580448
