IEL top clones,TRBV10-1,TRBV10-2,TRBV10-3,TRBV11-1,TRBV11-2,TRBV11-3,TRBV12-3,TRBV12-4,TRBV12-5,TRBV13,TRBV14,TRBV15,TRBV16,TRBV18,TRBV19,TRBV2,TRBV20-1,TRBV24-1,TRBV25-1,TRBV27,TRBV28,TRBV29-1,TRBV3-1,TRBV30,TRBV4-1,TRBV4-2,TRBV4-3,TRBV5-1,TRBV5-4,TRBV5-5,TRBV5-6,TRBV5-7,TRBV5-8,TRBV6-1,TRBV6-2,TRBV6-4,TRBV6-5,TRBV6-6,TRBV6-7,TRBV6-8,TRBV6-9,TRBV7-2,TRBV7-3,TRBV7-4,TRBV7-6,TRBV7-7,TRBV7-8,TRBV7-9,TRBV9
1-10,0.07407407407407407,0.0,0.0,0.0,0.17037037037037037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08888888888888889,0.0,0.0,0.1111111111111111,0.2962962962962963,0.0,0.0,0.0,0.0,0.0,0.05925925925925926,0.1037037037037037,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0962962962962963
11-100,0.05555555555555555,0.006535947712418301,0.0,0.0,0.08496732026143791,0.0,0.0,0.02287581699346405,0.0,0.0,0.032679738562091505,0.0,0.0,0.029411764705882353,0.016339869281045753,0.016339869281045753,0.07516339869281045,0.016339869281045753,0.0,0.0196078431372549,0.0196078431372549,0.03594771241830065,0.07516339869281045,0.00980392156862745,0.0392156862745098,0.013071895424836602,0.00980392156862745,0.042483660130718956,0.013071895424836602,0.0,0.0,0,0.0,0.016339869281045753,0.00980392156862745,0.0,0.016339869281045753,0.03594771241830065,0,0,0,0.03594771241830065,0,0,0.049019607843137254,0,0.08823529411764706,0.049019607843137254,0.06535947712418301
100+,0.012121212121212121,0.012121212121212121,0.01818181818181818,0.012121212121212121,0.03636363636363636,0.0030303030303030303,0.024242424242424242,0.01818181818181818,0.0030303030303030303,0.01818181818181818,0.02727272727272727,0.01818181818181818,0.0030303030303030303,0.021212121212121213,0.024242424242424242,0.03333333333333333,0.10606060606060606,0.006060606060606061,0.00909090909090909,0.030303030303030304,0.03333333333333333,0.01818181818181818,0.07878787878787878,0.05454545454545454,0.021212121212121213,0.01818181818181818,0.006060606060606061,0.045454545454545456,0.00909090909090909,0.0030303030303030303,0.01818181818181818,0,0.006060606060606061,0.03333333333333333,0.00909090909090909,0.0030303030303030303,0.04242424242424243,0.006060606060606061,0,0,0,0.048484848484848485,0,0,0.006060606060606061,0,0.03333333333333333,0.04242424242424243,0.02727272727272727
