PB top clones,TRBV10-1,TRBV10-2,TRBV10-3,TRBV11-1,TRBV11-2,TRBV11-3,TRBV12-3,TRBV12-4,TRBV12-5,TRBV13,TRBV14,TRBV15,TRBV16,TRBV18,TRBV19,TRBV2,TRBV20-1,TRBV24-1,TRBV25-1,TRBV27,TRBV28,TRBV29-1,TRBV3-1,TRBV30,TRBV4-1,TRBV4-2,TRBV4-3,TRBV5-1,TRBV5-4,TRBV5-5,TRBV5-6,TRBV5-7,TRBV5-8,TRBV6-1,TRBV6-2,TRBV6-4,TRBV6-5,TRBV6-6,TRBV6-7,TRBV6-8,TRBV6-9,TRBV7-2,TRBV7-3,TRBV7-4,TRBV7-6,TRBV7-7,TRBV7-8,TRBV7-9,TRBV9
1-10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1643835616438356,0.1095890410958904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0958904109589041,0.0,0.2191780821917808,0.0,0.0,0.0,0,0.0,0.0,0.2602739726027397,0.0,0.0,0.0821917808219178,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0684931506849315,0.0
11-100,0,0,0.0,0.009708737864077669,0.05825242718446602,0.0,0.02912621359223301,0.08737864077669903,0.0,0.0,0.0,0.0,0.0,0.038834951456310676,0.04854368932038835,0.0,0.02912621359223301,0.019417475728155338,0.0,0.0,0.019417475728155338,0.009708737864077669,0.019417475728155338,0.009708737864077669,0.038834951456310676,0.0,0.04854368932038835,0.04854368932038835,0.04854368932038835,0.0,0.019417475728155338,0,0.009708737864077669,0.019417475728155338,0.04854368932038835,0.038834951456310676,0.02912621359223301,0.0,0,0,0,0.019417475728155338,0.038834951456310676,0,0.009708737864077669,0.019417475728155338,0.019417475728155338,0.06796116504854369,0.0970873786407767
100+,0,0,0.024657534246575342,0.009589041095890411,0.019178082191780823,0.015068493150684932,0.019178082191780823,0.0547945205479452,0.00821917808219178,0.023287671232876714,0.0136986301369863,0.00821917808219178,0.0013698630136986301,0.00684931506849315,0.0410958904109589,0.031506849315068496,0.04246575342465753,0.00684931506849315,0.00821917808219178,0.052054794520547946,0.00684931506849315,0.0410958904109589,0.021917808219178082,0.01780821917808219,0.0136986301369863,0.021917808219178082,0.026027397260273973,0.03972602739726028,0.021917808219178082,0.0136986301369863,0.03424657534246575,0,0.00410958904109589,0.028767123287671233,0.045205479452054796,0.00410958904109589,0.031506849315068496,0.015068493150684932,0,0,0,0.030136986301369864,0.01643835616438356,0,0.01780821917808219,0.0013698630136986301,0.026027397260273973,0.06301369863013699,0.07123287671232877
