IEL top clones,TRBV10-1,TRBV10-2,TRBV10-3,TRBV11-1,TRBV11-2,TRBV11-3,TRBV12-3,TRBV12-4,TRBV12-5,TRBV13,TRBV14,TRBV15,TRBV16,TRBV18,TRBV19,TRBV2,TRBV20-1,TRBV24-1,TRBV25-1,TRBV27,TRBV28,TRBV29-1,TRBV3-1,TRBV30,TRBV4-1,TRBV4-2,TRBV4-3,TRBV5-1,TRBV5-4,TRBV5-5,TRBV5-6,TRBV5-7,TRBV5-8,TRBV6-1,TRBV6-2,TRBV6-4,TRBV6-5,TRBV6-6,TRBV6-7,TRBV6-8,TRBV6-9,TRBV7-2,TRBV7-3,TRBV7-4,TRBV7-6,TRBV7-7,TRBV7-8,TRBV7-9,TRBV9
1-10,0,0.0,0.0,0.0,0.0,0.0,0.07092198581560284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1347517730496454,0.0,0.07092198581560284,0.0,0.0,0.0,0.09929078014184398,0.0,0.2127659574468085,0.0,0.0,0.0,0.07801418439716312,0.0,0.11347517730496454,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.2198581560283688,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-100,0,0.0,0.03773584905660377,0.0,0.1069182389937107,0.0,0.0,0.009433962264150943,0.012578616352201259,0.015723270440251572,0.07232704402515723,0.006289308176100629,0.0,0.009433962264150943,0.0,0.0220125786163522,0.05345911949685535,0.0,0.015723270440251572,0.02830188679245283,0.0,0.009433962264150943,0.0880503144654088,0.012578616352201259,0.0,0.03459119496855346,0.03773584905660377,0.040880503144654086,0.03773584905660377,0.025157232704402517,0.02830188679245283,0,0.015723270440251572,0.006289308176100629,0.031446540880503145,0.0,0.018867924528301886,0.0220125786163522,0,0,0,0.059748427672955975,0.040880503144654086,0.0,0.0,0.0,0.012578616352201259,0.0660377358490566,0.0220125786163522
100+,0,0.0017064846416382253,0.029863481228668942,0.002559726962457338,0.041808873720136516,0.01877133105802048,0.021331058020477817,0.01877133105802048,0.00938566552901024,0.017918088737201365,0.011092150170648464,0.01877133105802048,0.0017064846416382253,0.006825938566552901,0.04863481228668942,0.030716723549488054,0.06655290102389079,0.005972696245733789,0.00938566552901024,0.043515358361774746,0.005119453924914676,0.021331058020477817,0.050341296928327645,0.012798634812286689,0.026450511945392493,0.01877133105802048,0.026450511945392493,0.02901023890784983,0.02303754266211604,0.007679180887372013,0.024744027303754267,0,0.011092150170648464,0.026450511945392493,0.033276450511945395,0.005119453924914676,0.030716723549488054,0.013651877133105802,0,0,0,0.04778156996587031,0.02218430034129693,0.0034129692832764505,0.00938566552901024,0.011945392491467578,0.030716723549488054,0.05631399317406143,0.04692832764505119
