L top clones,TRBV10-1,TRBV10-2,TRBV10-3,TRBV11-1,TRBV11-2,TRBV11-3,TRBV12-3,TRBV12-4,TRBV12-5,TRBV13,TRBV14,TRBV15,TRBV16,TRBV18,TRBV19,TRBV2,TRBV20-1,TRBV24-1,TRBV25-1,TRBV27,TRBV28,TRBV29-1,TRBV3-1,TRBV30,TRBV4-1,TRBV4-2,TRBV4-3,TRBV5-1,TRBV5-4,TRBV5-5,TRBV5-6,TRBV5-7,TRBV5-8,TRBV6-1,TRBV6-2,TRBV6-4,TRBV6-5,TRBV6-6,TRBV6-7,TRBV6-8,TRBV6-9,TRBV7-2,TRBV7-3,TRBV7-4,TRBV7-6,TRBV7-7,TRBV7-8,TRBV7-9,TRBV9
1-10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.43478260869565216,0.391304347826087,0.13043478260869565,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
11-100,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.2631578947368421,0.0,0.10526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0,0.0,0.21052631578947367,0.02631578947368421,0.10526315789473684,0.0,0.0,0,0,0,0.07894736842105263,0.0,0,0.0,0.0,0.02631578947368421,0.07894736842105263,0.0
100+,0,0.0016488046166529267,0.03709810387469085,0.00989282769991756,0.02225886232481451,0.018136850783182192,0.030502885408079144,0.02225886232481451,0.008244023083264633,0.006595218466611707,0.005770816158285243,0.020610057708161583,0.0032976092333058533,0.026380873866446827,0.06430338004946413,0.03462489694971146,0.07337180544105523,0.004122011541632316,0.005770816158285243,0.02225886232481451,0.013190436933223413,0.015663643858202802,0.031327287716405604,0.021434460016488046,0.015663643858202802,0.01731244847485573,0.028854080791426217,0.0494641384995878,0.020610057708161583,0.006595218466611707,0.016488046166529265,0,0.0032976092333058533,0.0403957131079967,0.04286892003297609,0.005770816158285243,0.02720527617477329,0.023907666941467436,0,0,0,0.08821104699093157,0.01978565539983512,0,0.01236603462489695,0.005770816158285243,0.023907666941467436,0.025556471558120363,0.02720527617477329
