L top clones,TRBV10-1,TRBV10-2,TRBV10-3,TRBV11-1,TRBV11-2,TRBV11-3,TRBV12-3,TRBV12-4,TRBV12-5,TRBV13,TRBV14,TRBV15,TRBV16,TRBV18,TRBV19,TRBV2,TRBV20-1,TRBV24-1,TRBV25-1,TRBV27,TRBV28,TRBV29-1,TRBV3-1,TRBV30,TRBV4-1,TRBV4-2,TRBV4-3,TRBV5-1,TRBV5-4,TRBV5-5,TRBV5-6,TRBV5-7,TRBV5-8,TRBV6-1,TRBV6-2,TRBV6-4,TRBV6-5,TRBV6-6,TRBV6-7,TRBV6-8,TRBV6-9,TRBV7-2,TRBV7-3,TRBV7-4,TRBV7-6,TRBV7-7,TRBV7-8,TRBV7-9,TRBV9
1-10,0,0,0.0,0,0.0,0,0.0,0.2700534759358289,0,0.15508021390374332,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29411764705882354,0.0,0.0,0.0,0.0748663101604278,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.02406417112299465,0.18181818181818182,0.0
11-100,0,0,0.008438818565400843,0,0.0,0,0.0,0.09282700421940929,0,0.02109704641350211,0.012658227848101266,0.004219409282700422,0,0.012658227848101266,0.004219409282700422,0.016877637130801686,0.029535864978902954,0.016877637130801686,0.012658227848101266,0.10126582278481013,0.09282700421940929,0.06751054852320675,0.0,0.016877637130801686,0.012658227848101266,0.02109704641350211,0.029535864978902954,0.05907172995780591,0.016877637130801686,0.0,0.012658227848101266,0,0,0.0,0.008438818565400843,0.0,0.046413502109704644,0.0,0,0,0,0.06751054852320675,0.05485232067510549,0,0.016877637130801686,0.0,0.016877637130801686,0.004219409282700422,0.12236286919831224
100+,0,0,0.011235955056179775,0,0.028089887640449437,0,0.011235955056179775,0.02247191011235955,0,0.02247191011235955,0.0,0.0,0,0.028089887640449437,0.028089887640449437,0.033707865168539325,0.056179775280898875,0.0056179775280898875,0.011235955056179775,0.056179775280898875,0.07303370786516854,0.0056179775280898875,0.011235955056179775,0.0056179775280898875,0.028089887640449437,0.011235955056179775,0.03932584269662921,0.028089887640449437,0.03932584269662921,0.02247191011235955,0.02247191011235955,0,0,0.0056179775280898875,0.0449438202247191,0.016853932584269662,0.05056179775280899,0.02247191011235955,0,0,0,0.028089887640449437,0.0449438202247191,0,0.02247191011235955,0.016853932584269662,0.028089887640449437,0.05056179775280899,0.06741573033707865
