L top clones,TRBV10-1,TRBV10-2,TRBV10-3,TRBV11-1,TRBV11-2,TRBV11-3,TRBV12-3,TRBV12-4,TRBV12-5,TRBV13,TRBV14,TRBV15,TRBV16,TRBV18,TRBV19,TRBV2,TRBV20-1,TRBV24-1,TRBV25-1,TRBV27,TRBV28,TRBV29-1,TRBV3-1,TRBV30,TRBV4-1,TRBV4-2,TRBV4-3,TRBV5-1,TRBV5-4,TRBV5-5,TRBV5-6,TRBV5-7,TRBV5-8,TRBV6-1,TRBV6-2,TRBV6-4,TRBV6-5,TRBV6-6,TRBV6-7,TRBV6-8,TRBV6-9,TRBV7-2,TRBV7-3,TRBV7-4,TRBV7-6,TRBV7-7,TRBV7-8,TRBV7-9,TRBV9
1-10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027522935779816515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.3944954128440367,0.41284403669724773,0.045871559633027525,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.11926605504587157,0.0
11-100,0,0.0,0.0047169811320754715,0.0,0.0,0.0,0.0,0.05188679245283019,0.0,0.0,0.0,0.0047169811320754715,0.0,0.0,0.04716981132075472,0.0330188679245283,0.12735849056603774,0.018867924528301886,0.018867924528301886,0.0,0.0,0.0,0.0,0.02358490566037736,0.0,0.08018867924528301,0.02830188679245283,0.07075471698113207,0.02830188679245283,0.0,0.02830188679245283,0,0.0,0.09433962264150944,0.08490566037735849,0.08962264150943396,0.0047169811320754715,0.05660377358490566,0,0,0,0.018867924528301886,0.0,0,0.0,0.0,0.009433962264150943,0.05660377358490566,0.018867924528301886
100+,0,0.0027829313543599257,0.029684601113172542,0.0037105751391465678,0.014842300556586271,0.011131725417439703,0.014842300556586271,0.025974025974025976,0.006493506493506494,0.012987012987012988,0.01020408163265306,0.01855287569573284,0.0009276437847866419,0.014842300556586271,0.059369202226345084,0.030612244897959183,0.07977736549165121,0.008348794063079777,0.0074211502782931356,0.03710575139146568,0.0055658627087198514,0.02411873840445269,0.032467532467532464,0.017625231910946195,0.025974025974025976,0.021335807050092765,0.036178107606679034,0.036178107606679034,0.016697588126159554,0.0055658627087198514,0.012059369202226345,0,0.0074211502782931356,0.04359925788497217,0.05844155844155844,0.021335807050092765,0.02411873840445269,0.01855287569573284,0,0,0,0.038033395176252316,0.01020408163265306,0,0.013914656771799629,0.0009276437847866419,0.025974025974025976,0.06586270871985157,0.04823747680890538
