IEL top clones,TRBV10-1,TRBV10-2,TRBV10-3,TRBV11-1,TRBV11-2,TRBV11-3,TRBV12-3,TRBV12-4,TRBV12-5,TRBV13,TRBV14,TRBV15,TRBV16,TRBV18,TRBV19,TRBV2,TRBV20-1,TRBV24-1,TRBV25-1,TRBV27,TRBV28,TRBV29-1,TRBV3-1,TRBV30,TRBV4-1,TRBV4-2,TRBV4-3,TRBV5-1,TRBV5-4,TRBV5-5,TRBV5-6,TRBV5-7,TRBV5-8,TRBV6-1,TRBV6-2,TRBV6-4,TRBV6-5,TRBV6-6,TRBV6-7,TRBV6-8,TRBV6-9,TRBV7-2,TRBV7-3,TRBV7-4,TRBV7-6,TRBV7-7,TRBV7-8,TRBV7-9,TRBV9
1-10,0.05555555555555555,0.0,0.0,0,0.16666666666666666,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.05555555555555555,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.16666666666666666
11-100,0.016666666666666666,0.03333333333333333,0.0,0,0.016666666666666666,0,0.0,0.0,0.0,0,0.05,0.0,0,0.0,0.05,0.03333333333333333,0.13333333333333333,0,0.0,0.03333333333333333,0.06666666666666667,0.05,0.08333333333333333,0.0,0.03333333333333333,0.08333333333333333,0.0,0.05,0.05,0.0,0.0,0,0,0.03333333333333333,0.016666666666666666,0,0.016666666666666666,0.0,0,0.0,0,0.0,0,0,0.05,0,0.06666666666666667,0.0,0.03333333333333333
100+,0.0,0.007352941176470588,0.022058823529411766,0,0.022058823529411766,0,0.04411764705882353,0.014705882352941176,0.007352941176470588,0,0.022058823529411766,0.022058823529411766,0,0.04411764705882353,0.014705882352941176,0.029411764705882353,0.17647058823529413,0,0.022058823529411766,0.022058823529411766,0.022058823529411766,0.029411764705882353,0.07352941176470588,0.022058823529411766,0.022058823529411766,0.007352941176470588,0.0,0.07352941176470588,0.007352941176470588,0.007352941176470588,0.022058823529411766,0,0,0.04411764705882353,0.007352941176470588,0,0.0,0.022058823529411766,0,0.007352941176470588,0,0.03676470588235294,0,0,0.0,0,0.0,0.10294117647058823,0.022058823529411766
