PB top clones,TRBV10-1,TRBV10-2,TRBV10-3,TRBV11-1,TRBV11-2,TRBV11-3,TRBV12-3,TRBV12-4,TRBV12-5,TRBV13,TRBV14,TRBV15,TRBV16,TRBV18,TRBV19,TRBV2,TRBV20-1,TRBV24-1,TRBV25-1,TRBV27,TRBV28,TRBV29-1,TRBV3-1,TRBV30,TRBV4-1,TRBV4-2,TRBV4-3,TRBV5-1,TRBV5-4,TRBV5-5,TRBV5-6,TRBV5-7,TRBV5-8,TRBV6-1,TRBV6-2,TRBV6-4,TRBV6-5,TRBV6-6,TRBV6-7,TRBV6-8,TRBV6-9,TRBV7-2,TRBV7-3,TRBV7-4,TRBV7-6,TRBV7-7,TRBV7-8,TRBV7-9,TRBV9
1-10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.4,0.0
11-100,0,0.0,0.0,0.0,0.0,0.0,0.04504504504504504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018018018018018018,0.0,0.22522522522522523,0.0990990990990991,0.04504504504504504,0.0,0.07207207207207207,0.0,0.018018018018018018,0.07207207207207207,0.018018018018018018,0.0,0.0,0.12612612612612611,0.018018018018018018,0.0,0.018018018018018018,0,0.0,0.02702702702702703,0.036036036036036036,0.0,0.05405405405405406,0.018018018018018018,0,0,0,0.06306306306306306,0.02702702702702703,0,0.0,0.0,0.0,0.0,0.0
100+,0,0.0022641509433962265,0.02188679245283019,0.004528301886792453,0.007547169811320755,0.004528301886792453,0.019622641509433963,0.018867924528301886,0.0030188679245283017,0.0007547169811320754,0.017358490566037735,0.00830188679245283,0.0007547169811320754,0.033962264150943396,0.025660377358490565,0.02339622641509434,0.13811320754716983,0.015849056603773583,0.007547169811320755,0.02188679245283019,0.08226415094339623,0.025660377358490565,0.02339622641509434,0.012075471698113207,0.0060377358490566035,0.014339622641509434,0.02490566037735849,0.08754716981132075,0.01509433962264151,0.009056603773584906,0.018867924528301886,0,0.0022641509433962265,0.014339622641509434,0.033962264150943396,0.0015094339622641509,0.033962264150943396,0.018113207547169812,0,0,0,0.08,0.03018867924528302,0,0.0060377358490566035,0.0015094339622641509,0.006792452830188679,0.046037735849056606,0.03018867924528302
