LP top clones,TRBV10-1,TRBV10-2,TRBV10-3,TRBV11-1,TRBV11-2,TRBV11-3,TRBV12-3,TRBV12-4,TRBV12-5,TRBV13,TRBV14,TRBV15,TRBV16,TRBV18,TRBV19,TRBV2,TRBV20-1,TRBV24-1,TRBV25-1,TRBV27,TRBV28,TRBV29-1,TRBV3-1,TRBV30,TRBV4-1,TRBV4-2,TRBV4-3,TRBV5-1,TRBV5-4,TRBV5-5,TRBV5-6,TRBV5-7,TRBV5-8,TRBV6-1,TRBV6-2,TRBV6-4,TRBV6-5,TRBV6-6,TRBV6-7,TRBV6-8,TRBV6-9,TRBV7-2,TRBV7-3,TRBV7-4,TRBV7-6,TRBV7-7,TRBV7-8,TRBV7-9,TRBV9
1-10,0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.27380952380952384,0.0,0.0,0.0,0.0,0.14285714285714285,0.08333333333333333,0.0,0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0,0,0,0.13095238095238096,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0
11-100,0,0.0,0.04291845493562232,0.008583690987124463,0.012875536480686695,0.030042918454935622,0.030042918454935622,0.012875536480686695,0.0,0.004291845493562232,0.012875536480686695,0.02575107296137339,0.0,0.017167381974248927,0.0944206008583691,0.030042918454935622,0.09012875536480687,0.008583690987124463,0.012875536480686695,0.034334763948497854,0.0,0.05150214592274678,0.06437768240343347,0.017167381974248927,0.02575107296137339,0.0,0.02575107296137339,0.008583690987124463,0.012875536480686695,0.0,0.0,0,0.0,0.04721030042918455,0.03862660944206009,0.012875536480686695,0.04721030042918455,0.04721030042918455,0,0,0,0.06866952789699571,0.012875536480686695,0.0,0.0,0.0,0.0,0.02575107296137339,0.02575107296137339
100+,0,0.001628001628001628,0.02971102971102971,0.005698005698005698,0.016687016687016686,0.02849002849002849,0.03418803418803419,0.02726902726902727,0.00814000814000814,0.006105006105006105,0.008547008547008548,0.008547008547008548,0.000814000814000814,0.02849002849002849,0.06837606837606838,0.030118030118030117,0.07773707773707773,0.002849002849002849,0.009361009361009361,0.02035002035002035,0.006105006105006105,0.02197802197802198,0.039886039886039885,0.02564102564102564,0.013838013838013839,0.011396011396011397,0.02157102157102157,0.05982905982905983,0.018315018315018316,0.009768009768009768,0.022792022792022793,0,0.00407000407000407,0.03540903540903541,0.050061050061050064,0.00407000407000407,0.03133903133903134,0.01912901912901913,0,0,0,0.08058608058608059,0.013431013431013432,0.000407000407000407,0.01098901098901099,0.003663003663003663,0.018722018722018723,0.03825803825803826,0.02564102564102564
