,log2fold,pval_adj
YIF1A,1.2969365119934082,1.0
LINC00910,0.6880212426185608,1.0
CAPN2,1.3463342189788818,1.0
RASSF5,0.4550579786300659,1.0
SNX6,0.6125572323799133,1.0
IL4I1,0.5479963421821594,1.0
TIA1,0.8447521328926086,1.0
ABCB1,0.7373023629188538,1.0
EYA3,1.185634970664978,1.0
DDI2,2.1882071495056152,1.0
KDM6B,0.5649227499961853,1.0
NEAT1,0.4080691635608673,1.0
FAM117A,0.7371336221694946,1.0
EIF2B1,1.405695915222168,1.0
IFRD1,0.6905255913734436,1.0
ATP6V1D,0.9492683410644531,1.0
EIF4E3,2.074585199356079,1.0
PHF1,0.7233423590660095,1.0
SYNCRIP,0.6912500858306885,1.0
MED15,0.8396822214126587,1.0
MSN,0.4466124176979065,1.0
BPTF,0.7445113062858582,1.0
PTPN11,1.0826977491378784,1.0
SAT2,0.8657777309417725,1.0
MFSD11,1.0595556497573853,1.0
TEX264,0.759746789932251,1.0
NME2,0.4209655821323395,1.0
OSGEP,1.2100322246551514,1.0
RASA4,1.1510733366012573,1.0
CELF1,0.8162927627563477,1.0
YWHAE,0.5996729731559753,1.0
SEC13,0.7481827735900879,1.0
ANKRD46,0.9253990054130554,1.0
UVRAG,0.9514020681381226,1.0
CHURC1,0.4759872853755951,1.0
BTG1,0.3995678126811981,1.0
XPO1,0.8103055953979492,1.0
ARHGAP4,0.6165789365768433,1.0
FXR1,0.6912248134613037,1.0
CIAO1,0.6272943019866943,1.0
NSRP1,0.8659853935241699,1.0
NSUN2,1.2145251035690308,1.0
CDC42SE2,0.32978755235671997,1.0
SCFD2,0.8379649519920349,1.0
HAUS1,1.3976722955703735,1.0
SAMD9,0.6538345813751221,1.0
CCR1,1.6947689056396484,1.0
PPP2R1A,0.5734341144561768,1.0
CCNY,0.9158626794815063,1.0
PRKCA,1.4556186199188232,1.0
IL12RB2,0.7119870185852051,1.0
KLRG1,0.5064489841461182,1.0
HACL1,1.6894638538360596,1.0
PPP3R1,0.9039940237998962,1.0
FTL,0.34246426820755005,1.0
SEPTIN7,0.320141464471817,1.0
ELMO1,0.7383293509483337,1.0
BTG3,0.951445460319519,1.0
RNF149,0.472100168466568,1.0
UBR5,0.9109771847724915,1.0
LUC7L,1.1165716648101807,1.0
MARS,1.1900376081466675,1.0
IL23R,0.48163270950317383,1.0
ELP4,1.1539779901504517,1.0
SIAH2-AS1,0.8718016147613525,1.0
ATP5IF1,0.4792185127735138,1.0
FAHD2B,2.531019687652588,1.0
AFF4,0.6550858616828918,1.0
COX6B1,0.4106484353542328,1.0
SYNGAP1,0.8338714241981506,1.0
POP4,1.0429539680480957,1.0
DBNL,0.8255067467689514,1.0
CAST,0.551144540309906,1.0
SLC38A5,3.927483081817627,1.0
TBP,1.5041557550430298,1.0
ZKSCAN1,0.8447521328926086,1.0
RND1,3.7950236797332764,1.0
TBL3,2.288648843765259,1.0
RPS21,0.16239871084690094,1.0
ACY1,2.288648843765259,1.0
CBFA2T2,2.288648843765259,1.0
MTR,0.856342077255249,1.0
CELF2,0.28653568029403687,1.0
ELOVL6,2.2691996097564697,1.0
PCM1,0.6452724933624268,1.0
SLC38A1,0.4690656363964081,1.0
NDUFAF8,1.7443903684616089,1.0
CCL4L2,0.9262979030609131,1.0
MRPL10,0.5455876588821411,1.0
MRPL24,0.8424621820449829,1.0
MRPS10,1.129820466041565,1.0
GSS,1.4289485216140747,1.0
ZNF688,1.4289485216140747,1.0
PCF11,0.6496387720108032,1.0
WDR33,0.6263070106506348,1.0
SORL1,0.5434938669204712,1.0
WDR36,1.420953392982483,1.0
SLC35D1,1.3778554201126099,1.0
MIEN1,0.823021411895752,1.0
PKN1,1.2145251035690308,1.0
S1PR4,0.9611870646476746,1.0
TPP1,1.408909559249878,1.0
TRIM59,1.408909559249878,1.0
ITCH,0.6966573596000671,1.0
SGK3,1.209502100944519,1.0
MRPL13,1.392108678817749,1.0
ZNF451,1.0245133638381958,1.0
SEC63,0.7702083587646484,1.0
PIK3R1,0.6225263476371765,1.0
EXOC4,0.6106180548667908,1.0
CEP95,1.5799280405044556,1.0
TASOR2,0.8954448103904724,1.0
CHMP2B,0.7903451323509216,1.0
RRN3,0.8632913827896118,1.0
ZNF131,0.7514575123786926,1.0
MVB12B,1.0424766540527344,1.0
ZBTB44,1.3083003759384155,1.0
UFM1,0.5754051208496094,1.0
EIF2B3,1.3083003759384155,1.0
GATA3,0.5996319651603699,1.0
NCAM1,1.18524968624115,1.0
CD58,0.8466276526451111,1.0
MGA,1.1866267919540405,1.0
MTIF3,0.7496034502983093,1.0
WBP11,0.6444307565689087,1.0
LARP1,1.124176263809204,1.0
SNRPC,0.9868448972702026,1.0
SAR1B,0.6557114124298096,1.0
DAD1,0.44451916217803955,1.0
SDHD,0.5739702582359314,1.0
XBP1,0.5051804184913635,1.0
AC004832.6,1.0907291173934937,1.0
CWC22,1.4238457679748535,1.0
FAM114A2,1.4885056018829346,1.0
ZNF25,1.4313745498657227,1.0
TMEM43,0.936676561832428,1.0
RPL10,0.12854692339897156,1.0
STAG1,0.667367696762085,1.0
GBP1,0.3869934380054474,1.0
MRPS9,0.8000204563140869,1.0
BET1,1.8132880926132202,1.0
KSR1,1.2135801315307617,1.0
NCF4,1.6894569396972656,1.0
RFTN1,1.1962532997131348,1.0
AOAH,0.5591601729393005,1.0
DPF2,1.6894569396972656,1.0
SH2B1,1.6894569396972656,1.0
MAZ,0.8320001363754272,1.0
ANKIB1,1.3360778093338013,1.0
AL390957.1,1.0316578149795532,1.0
DHX15,0.6363167762756348,1.0
C14orf119,0.7775442600250244,1.0
NANS,1.155329704284668,1.0
IKZF2,0.4125223159790039,1.0
ARL15,1.0245133638381958,1.0
COPB1,0.5143581628799438,1.0
SPATA13,0.5973988771438599,1.0
MRPS24,0.643156886100769,1.0
PTPRCAP,0.4018387496471405,1.0
TNKS,0.5531756281852722,1.0
ATP2A3,1.149904727935791,1.0
STAU1,0.5709033608436584,1.0
FOS,0.613792359828949,1.0
RAVER1,1.328599452972412,1.0
SMC1A,0.545724093914032,1.0
ANKRD13C,1.328599452972412,1.0
WDR74,0.6591920852661133,1.0
NT5C2,1.328599452972412,1.0
PBX2,1.3171638250350952,1.0
TBL1XR1,0.7295817136764526,1.0
TRAPPC2L,1.3171638250350952,1.0
ACACA,1.5846120119094849,1.0
ATF7,1.659638524055481,1.0
SETDB2,1.3171638250350952,1.0
TULP4,1.5846120119094849,1.0
ZCCHC8,1.3171638250350952,1.0
NOLC1,0.7632333636283875,1.0
GON7,1.990838646888733,1.0
LETM2,1.095293402671814,1.0
POMP,0.5246772766113281,1.0
DBI,0.43469274044036865,1.0
VRK1,2.786803722381592,1.0
ALG5,0.8321579694747925,1.0
NDUFA3,0.42827457189559937,1.0
FAM217B,1.091615915298462,1.0
DUSP8,26.81771469116211,1.0
FOXN3,0.45869287848472595,1.0
SPIDR,0.47660544514656067,1.0
