,log2fold,pval_adj
ATP5MF,0.4042035937309265,1.0
LINC02384,1.185835599899292,1.0
TRAV21,3.432568073272705,1.0
ANKRD28,0.32454636693000793,1.0
ZFP36L2,0.16588924825191498,1.0
AC004687.1,1.0088545083999634,1.0
MAP2K7,0.844520628452301,1.0
SCMH1,0.9369157552719116,1.0
MAN1A1,0.3977017402648926,1.0
SETD2,0.38007909059524536,1.0
PLEKHA1,1.06315279006958,1.0
CYFIP2,0.39667025208473206,1.0
ATF7IP,0.2923141419887543,1.0
CA2,1.1274158954620361,1.0
CXCR4,0.19583222270011902,1.0
REV1,0.8779677152633667,1.0
GOLIM4,1.8685396909713745,1.0
TRBC1,0.3541336953639984,1.0
PAQR3,1.165505290031433,1.0
PIGC,1.5326539278030396,1.0
SFMBT2,0.5278440713882446,1.0
PTMS,0.6169451475143433,1.0
KLRC1,1.0670567750930786,1.0
GZMA,0.42048048973083496,1.0
BTG2,0.2637186646461487,1.0
AC007952.4,0.47209227085113525,1.0
TAF3,0.6392592191696167,1.0
SERF2,0.16199469566345215,1.0
AL590550.1,1.7831209897994995,1.0
AC022075.1,1.1495815515518188,1.0
CCT8,0.4904768168926239,1.0
BLOC1S4,0.6155597567558289,1.0
DSTN,0.5260058641433716,1.0
LINC00299,1.3155133724212646,1.0
CHST11,0.26731839776039124,1.0
BPTF,0.33218806982040405,1.0
MTRNR2L8,0.5086452960968018,1.0
HNRNPAB,0.32577618956565857,1.0
NAA50,0.6724700331687927,1.0
EIF3J,0.4700384736061096,1.0
AMZ2,0.5061521530151367,1.0
MYO1E,0.8895965218544006,1.0
MAML2,0.383870005607605,1.0
ATP11B,0.3867718577384949,1.0
TMIGD2,0.37813305854797363,1.0
METTL26,0.3431725800037384,1.0
CHIC1,1.6590436697006226,1.0
PYHIN1,0.5466418266296387,1.0
POLR2A,0.34512728452682495,1.0
ABLIM1,0.3807365596294403,1.0
TRAV8-2,2.0345394611358643,1.0
RCSD1,0.3926652669906616,1.0
OXR1,0.9389895796775818,1.0
TRIB2,0.9389895796775818,1.0
CCDC91,0.44223713874816895,1.0
PDHX,1.1267653703689575,1.0
TTC14,0.5573636889457703,1.0
CUL1,0.6053698658943176,1.0
NIN,0.4296216070652008,1.0
BTN3A2,0.47683650255203247,1.0
WSB1,0.27962490916252136,1.0
MARCH7,0.33568379282951355,1.0
TESK1,1.060366153717041,1.0
POLR2E,0.4093375504016876,1.0
TMEM87A,0.5373514890670776,1.0
SEC24A,1.3776673078536987,1.0
CYREN,1.6289899349212646,1.0
IL26,1.6007087230682373,1.0
CCDC146,1.1768903732299805,1.0
ZFAND3,0.4220030903816223,1.0
CEACAM21,0.9918280243873596,1.0
CCDC88B,0.9102356433868408,1.0
COP1,0.47001364827156067,1.0
CD3D,0.17362813651561737,1.0
CAPRIN1,0.501817524433136,1.0
CRBN,0.5633139610290527,1.0
UBE2G1,0.4496150016784668,1.0
SCART1,1.757926344871521,1.0
CBX5,0.9641599655151367,1.0
PTMA,0.06969677656888962,1.0
SETD3,0.6449440717697144,1.0
PDLIM7,1.1841239929199219,1.0
RBMS1,0.3294063210487366,1.0
MITD1,0.7820064425468445,1.0
SAP30BP,0.5343905091285706,1.0
CHD2,0.19912634789943695,1.0
NSD1,0.46378767490386963,1.0
PLAGL1,1.617344617843628,1.0
MBD4,0.6087031960487366,1.0
CLASP1,0.5355896353721619,1.0
COPG1,0.8734511137008667,1.0
PRPF6,0.5761357545852661,1.0
SUPT3H,0.555428683757782,1.0
EXOSC9,0.9431678652763367,1.0
SP4,0.6495065689086914,1.0
AATF,0.5072978734970093,1.0
FAM210A,1.2570592164993286,1.0
TRBV27,1.873284935951233,1.0
KIF22,0.963047444820404,1.0
MALAT1,0.05899464711546898,1.0
SYNE1,0.43355563282966614,1.0
PVT1,0.4563042223453522,1.0
ALG12,0.9192409515380859,1.0
RAB5C,0.36629873514175415,1.0
MAN1A2,0.40068721771240234,1.0
FAM110A,1.1673429012298584,1.0
BFAR,0.7441527843475342,1.0
ARRDC3,0.5168050527572632,1.0
WTAP,0.2293470799922943,1.0
THADA,0.719639241695404,1.0
ARHGEF3,0.37264421582221985,1.0
HNRNPL,0.24976931512355804,1.0
ASAH1,0.6243724822998047,1.0
GABPB1-AS1,0.6856653094291687,1.0
MSH3,0.6174560189247131,1.0
