,0
0,A1BG
1,A1BG-AS1
2,AAAS
3,AACS
4,AAGAB
5,AAK1
6,AAMDC
7,AAMP
8,AAR2
9,AARS
10,AARS2
11,AARSD1
12,AASDH
13,AASDHPPT
14,AATF
15,AATK
16,ABALON
17,ABAT
18,ABCA1
19,ABCA2
20,ABCA3
21,ABCA5
22,ABCA7
23,ABCB1
24,ABCB10
25,ABCB7
26,ABCB8
27,ABCB9
28,ABCC1
29,ABCC10
30,ABCC4
31,ABCC5
32,ABCD1
33,ABCD2
34,ABCD3
35,ABCD4
36,ABCE1
37,ABCF1
38,ABCF2
39,ABCF3
40,ABCG1
41,ABHD10
42,ABHD11
43,ABHD12
44,ABHD13
45,ABHD14A
46,ABHD14B
47,ABHD15
48,ABHD15-AS1
49,ABHD16A
50,ABHD17A
51,ABHD17B
52,ABHD18
53,ABHD2
54,ABHD3
55,ABHD4
56,ABHD5
57,ABHD6
58,ABHD8
59,ABI1
60,ABI2
61,ABI3
62,ABITRAM
63,ABL1
64,ABL2
65,ABLIM1
66,ABR
67,ABRACL
68,ABRAXAS1
69,ABRAXAS2
70,ABT1
71,ABTB1
72,ABTB2
73,AC002116.2
74,AC002310.1
75,AC002463.1
76,AC002467.1
77,AC003681.1
78,AC004241.1
79,AC004551.1
80,AC004556.3
81,AC004585.1
82,AC004596.1
83,AC004687.1
84,AC004797.1
85,AC004812.2
86,AC004832.6
87,AC004854.2
88,AC004943.2
89,AC004951.1
90,AC004974.1
91,AC005037.1
92,AC005041.5
93,AC005052.2
94,AC005070.3
95,AC005083.1
96,AC005261.1
97,AC005264.1
98,AC005332.1
99,AC005332.4
100,AC005332.6
101,AC005476.2
102,AC005480.1
103,AC005520.2
104,AC005540.1
105,AC005562.1
106,AC005670.3
107,AC005695.2
108,AC005726.1
109,AC005808.1
110,AC005837.1
111,AC005842.1
112,AC005920.2
113,AC005944.1
114,AC006001.2
115,AC006059.1
116,AC006064.2
117,AC006064.4
118,AC006141.1
119,AC006160.1
120,AC006207.1
121,AC006213.2
122,AC006299.1
123,AC006369.1
124,AC006449.6
125,AC006460.1
126,AC006460.2
127,AC006504.5
128,AC006511.6
129,AC006942.1
130,AC007032.1
131,AC007114.1
132,AC007216.4
133,AC007383.2
134,AC007384.1
135,AC007448.4
136,AC007513.1
137,AC007541.1
138,AC007569.1
139,AC007613.1
140,AC007619.1
141,AC007728.1
142,AC007728.2
143,AC007780.1
144,AC007952.4
145,AC008014.1
146,AC008035.1
147,AC008074.2
148,AC008083.3
149,AC008105.1
150,AC008105.3
151,AC008124.1
152,AC008267.5
153,AC008378.1
154,AC008438.1
155,AC008440.1
156,AC008443.1
157,AC008443.5
158,AC008537.4
159,AC008549.2
160,AC008555.4
161,AC008569.1
162,AC008610.1
163,AC008696.2
164,AC008735.2
165,AC008764.8
166,AC008771.1
167,AC008875.2
168,AC008875.3
169,AC008892.1
170,AC008897.2
171,AC008914.1
172,AC008969.1
173,AC009053.2
174,AC009061.2
175,AC009093.2
176,AC009107.2
177,AC009113.1
178,AC009120.2
179,AC009126.1
180,AC009133.1
181,AC009133.3
182,AC009226.1
183,AC009299.3
184,AC009313.1
185,AC009403.1
186,AC009486.2
187,AC009509.1
188,AC009522.1
189,AC009554.1
190,AC009630.1
191,AC009779.2
192,AC009812.1
193,AC009831.1
194,AC009879.4
195,AC009951.5
196,AC009961.1
197,AC010149.1
198,AC010226.1
199,AC010275.1
200,AC010331.1
201,AC010336.8
202,AC010609.1
203,AC010618.3
204,AC010624.3
205,AC010642.2
206,AC010654.1
207,AC010754.1
208,AC010883.3
209,AC010894.3
210,AC010976.1
211,AC010978.1
212,AC011247.1
213,AC011444.1
214,AC011444.3
215,AC011446.2
216,AC011447.3
217,AC011462.5
218,AC011476.3
219,AC011498.1
220,AC011511.2
221,AC011603.2
222,AC011611.3
223,AC011933.4
224,AC012146.1
225,AC012184.3
