,0
0,A1BG
1,A1BG-AS1
2,AAAS
3,AACS
4,AAGAB
5,AAK1
6,AAMDC
7,AAMP
8,AAR2
9,AARS
10,AARS2
11,AARSD1
12,AASDH
13,AASDHPPT
14,AATF
15,ABAT
16,ABCA1
17,ABCA2
18,ABCA3
19,ABCA5
20,ABCA7
21,ABCB1
22,ABCB10
23,ABCB7
24,ABCB8
25,ABCC1
26,ABCC10
27,ABCC4
28,ABCC5
29,ABCD1
30,ABCD2
31,ABCD3
32,ABCD4
33,ABCE1
34,ABCF1
35,ABCF2
36,ABCF3
37,ABCG1
38,ABHD10
39,ABHD11
40,ABHD12
41,ABHD13
42,ABHD14A
43,ABHD14B
44,ABHD15
45,ABHD15-AS1
46,ABHD16A
47,ABHD17A
48,ABHD17B
49,ABHD18
50,ABHD2
51,ABHD3
52,ABHD4
53,ABHD5
54,ABHD6
55,ABHD8
56,ABI1
57,ABI2
58,ABI3
59,ABITRAM
60,ABL1
61,ABL2
62,ABLIM1
63,ABR
64,ABRACL
65,ABRAXAS1
66,ABRAXAS2
67,ABT1
68,ABTB1
69,ABTB2
70,AC002116.2
71,AC002310.1
72,AC002331.1
73,AC002463.1
74,AC002467.1
75,AC004241.1
76,AC004556.3
77,AC004687.1
78,AC004797.1
79,AC004812.2
80,AC004832.6
81,AC004854.2
82,AC004943.2
83,AC004951.1
84,AC004974.1
85,AC005037.1
86,AC005041.5
87,AC005052.2
88,AC005083.1
89,AC005261.1
90,AC005332.1
91,AC005332.4
92,AC005332.5
93,AC005332.6
94,AC005480.1
95,AC005520.2
96,AC005540.1
97,AC005562.1
98,AC005670.3
99,AC005695.2
100,AC005808.1
101,AC005837.1
102,AC005842.1
103,AC005920.2
104,AC005944.1
105,AC006001.2
106,AC006059.1
107,AC006064.2
108,AC006064.4
109,AC006160.1
110,AC006207.1
111,AC006213.2
112,AC006299.1
113,AC006369.1
114,AC006449.6
115,AC006460.1
116,AC006460.2
117,AC006504.5
118,AC006511.6
119,AC006942.1
120,AC006994.2
121,AC007032.1
122,AC007114.1
123,AC007216.4
124,AC007349.2
125,AC007383.2
126,AC007384.1
127,AC007448.4
128,AC007513.1
129,AC007541.1
130,AC007569.1
131,AC007619.1
132,AC007728.2
133,AC007780.1
134,AC007952.4
135,AC008014.1
136,AC008035.1
137,AC008074.2
138,AC008083.3
139,AC008105.3
140,AC008124.1
141,AC008267.5
142,AC008378.1
143,AC008438.1
144,AC008440.1
145,AC008443.1
146,AC008443.5
147,AC008555.4
148,AC008569.1
149,AC008610.1
150,AC008696.2
151,AC008735.2
152,AC008763.1
153,AC008764.8
154,AC008875.2
155,AC008875.3
156,AC008892.1
157,AC008897.2
158,AC008969.1
159,AC009053.2
160,AC009061.2
161,AC009093.2
162,AC009120.2
163,AC009126.1
164,AC009133.1
165,AC009133.3
166,AC009299.3
167,AC009313.1
168,AC009403.1
169,AC009486.2
170,AC009522.1
171,AC009630.1
172,AC009779.2
173,AC009812.1
174,AC009831.1
175,AC009879.4
176,AC009951.5
177,AC009961.1
178,AC010149.1
179,AC010275.1
180,AC010531.3
181,AC010609.1
182,AC010618.3
183,AC010642.2
184,AC010654.1
185,AC010883.3
186,AC010894.3
187,AC011247.1
188,AC011444.3
189,AC011446.2
190,AC011447.3
191,AC011462.5
192,AC011476.3
193,AC011498.1
194,AC011511.2
195,AC011603.2
196,AC011611.3
197,AC011933.4
198,AC011997.1
199,AC012146.1
200,AC012184.3
201,AC012306.2
202,AC012313.1
203,AC012358.3
204,AC012368.1
205,AC012447.1
206,AC012507.3
207,AC012615.1
208,AC012645.3
209,AC013264.1
210,AC013400.1
211,AC013460.1
212,AC013472.2
213,AC013652.1
214,AC015849.1
215,AC015871.1
216,AC015912.3
217,AC015923.1
218,AC015971.1
219,AC015982.2
220,AC016065.1
221,AC016074.2
222,AC016405.3
223,AC016590.1
224,AC016727.1
