,0
363,AC087286.2
364,AC087286.4
365,AC087500.1
366,AC087623.2
367,AC087854.1
368,AC090152.1
369,AC090517.5
370,AC090772.2
371,AC090825.1
372,AC090971.2
373,AC091271.1
374,AC091729.3
375,AC091814.1
376,AC091978.1
377,AC092053.2
378,AC092053.3
379,AC092120.3
380,AC092164.1
381,AC092279.1
382,AC092329.4
383,AC092343.1
384,AC092580.4
385,AC092617.1
386,AC092650.1
387,AC092652.1
388,AC092652.2
389,AC092683.1
390,AC092755.2
391,AC092803.1
392,AC092821.3
393,AC092902.4
394,AC092910.3
395,AC092944.1
396,AC093010.2
397,AC093019.2
398,AC093157.1
399,AC093249.6
400,AC093323.1
401,AC093423.2
402,AC093462.1
403,AC093484.3
404,AC093495.1
405,AC093510.1
406,AC093535.1
407,AC093635.1
408,AC093865.1
409,AC096564.1
410,AC096677.1
411,AC096734.2
412,AC097376.3
413,AC097382.3
414,AC097534.2
415,AC098484.4
416,AC098829.1
417,AC099063.1
418,AC099063.4
419,AC099343.3
420,AC099489.1
421,AC099778.1
422,AC100778.3
423,AC100810.1
424,AC103591.3
425,AC103702.2
426,AC103724.3
427,AC104078.1
428,AC104078.2
429,AC104109.2
430,AC104123.1
431,AC104162.2
432,AC104170.1
433,AC104316.1
434,AC104365.1
435,AC104506.1
436,AC104596.1
437,AC104695.2
438,AC104806.2
439,AC104850.2
440,AC104984.2
441,AC105020.6
442,AC105052.4
443,AC105916.1
444,AC106791.1
445,AC106818.2
446,AC107081.2
447,AC107223.1
448,AC108047.1
449,AC108134.3
450,AC108519.1
451,AC109472.1
452,AC109587.1
453,AC110769.2
454,AC112907.3
455,AC113410.4
456,AC113414.1
457,AC114271.1
458,AC114316.1
459,AC114760.2
460,AC114947.2
461,AC114956.3
462,AC115618.1
463,AC116366.1
464,AC116366.2
465,AC116407.2
466,AC117382.2
467,AC118549.1
468,AC119396.1
469,AC119673.2
470,AC120193.1
471,AC121761.1
472,AC122719.3
473,AC123595.1
474,AC123912.1
475,AC124014.1
476,AC124016.1
477,AC124248.1
478,AC125494.1
479,AC125611.3
480,AC126696.1
481,AC127070.1
482,AC127502.2
483,AC127521.1
484,AC127526.2
485,AC131237.1
486,AC131571.1
487,AC131971.1
488,AC132192.2
489,AC132938.3
490,AC133644.2
491,AC135457.1
492,AC136475.1
493,AC136475.3
494,AC137810.1
495,AC138150.1
496,AC139530.1
497,AC139720.1
498,AC139887.2
499,AC141424.1
500,AC144652.1
501,AC145124.1
502,AC145285.6
503,AC147067.1
504,AC147651.4
505,AC211476.2
506,AC215522.2
507,AC231533.1
508,AC233976.1
509,AC234582.1
510,AC239799.2
511,AC242426.2
512,AC242842.1
513,AC243829.1
514,AC243829.2
515,AC243829.4
516,AC243960.1
517,AC243965.1
518,AC244131.2
519,AC244197.2
520,AC244213.1
521,AC244502.1
522,AC245014.3
523,AC245060.5
524,AC245140.2
525,AC245297.3
526,AC245407.2
527,AC246785.3
528,AC253572.2
529,ACAA1
530,ACAA2
531,ACACA
