,0
362,AC125611.3
363,AC131237.1
364,AC131971.1
365,AC132192.2
366,AC135457.1
367,AC136475.3
368,AC137810.1
369,AC138150.1
370,AC139530.1
371,AC139887.2
372,AC144652.1
373,AC145124.1
374,AC145285.6
375,AC147067.1
376,AC147651.4
377,AC211476.2
378,AC234582.1
379,AC239799.2
380,AC242426.2
381,AC242842.1
382,AC243829.1
383,AC243829.4
384,AC243960.1
385,AC244197.2
386,AC244213.1
387,AC244502.1
388,AC245014.3
389,AC245297.3
390,AC245407.2
391,AC246785.3
392,AC253572.2
393,ACAA1
394,ACAA2
395,ACACA
396,ACACB
397,ACAD10
398,ACAD11
399,ACAD8
400,ACAD9
401,ACADM
402,ACADS
403,ACADSB
404,ACADVL
405,ACAP1
406,ACAP2
407,ACAP3
408,ACAT1
409,ACAT2
410,ACBD3
411,ACBD4
412,ACBD5
413,ACBD6
414,ACCS
415,ACD
416,ACER2
417,ACER3
418,ACIN1
419,ACLY
420,ACO1
421,ACO2
422,ACOT13
423,ACOT2
424,ACOT7
425,ACOT8
426,ACOT9
427,ACOX1
428,ACOX3
429,ACP1
430,ACP2
431,ACP5
432,ACP6
433,ACSF2
434,ACSF3
435,ACSL1
436,ACSL3
437,ACSL4
438,ACSL5
439,ACSL6
440,ACSS1
441,ACTA2
442,ACTB
443,ACTG1
444,ACTL6A
445,ACTN4
446,ACTR10
447,ACTR1A
448,ACTR1B
449,ACTR2
450,ACTR3
451,ACTR3B
452,ACTR3C
453,ACTR5
454,ACTR6
455,ACTR8
456,ACVR1
457,ACVR1B
458,ACVR1C
459,ACVR2A
460,ACY1
461,ACYP1
462,ACYP2
463,AD000090.1
464,ADA
465,ADA2
466,ADAL
467,ADAM10
468,ADAM15
469,ADAM17
470,ADAM19
471,ADAM22
472,ADAM23
473,ADAM28
474,ADAM8
475,ADAM9
476,ADAMTS17
477,ADAMTSL4-AS1
478,ADAR
479,ADARB1
480,ADARB2
481,ADAT1
482,ADAT2
483,ADAT3
484,ADCK2
485,ADCK5
486,ADCY3
487,ADCY7
488,ADCY9
489,ADD1
490,ADD3
491,ADGRE5
492,ADGRF3
493,ADGRG1
494,ADGRG5
495,ADGRV1
496,ADH5
497,ADHFE1
498,ADI1
499,ADIPOR1
500,ADIPOR2
501,ADK
502,ADNP
503,ADNP-AS1
504,ADNP2
505,ADO
506,ADORA2A
507,ADPGK
508,ADPRHL2
509,ADPRM
510,ADRB1
511,ADRB2
512,ADRM1
513,ADSL
514,ADSS
515,AEBP2
516,AEN
517,AF111167.1
518,AF117829.1
519,AF165147.1
520,AF213884.3
521,AFAP1
522,AFAP1L2
523,AFDN
524,AFF1
525,AFF4
526,AFG1L
527,AFG3L2
528,AFMID
529,AFTPH
530,AGA
531,AGAP2
532,AGAP3
533,AGAP4
534,AGBL3
535,AGBL5
536,AGER
537,AGFG1
538,AGFG2
539,AGGF1
540,AGK
541,AGL
542,AGO1
543,AGO2
544,AGO3
545,AGO4
546,AGPAT1
547,AGPAT2
548,AGPAT3
549,AGPAT4
550,AGPAT5
551,AGPS
552,AGTPBP1
553,AGTRAP
554,AHCTF1
555,AHCY
556,AHCYL1
557,AHCYL2
558,AHDC1
559,AHI1
560,AHNAK
561,AHR
562,AHRR
563,AHSA1
564,AIDA
565,AIF1
566,AIFM1
567,AIG1
568,AIM2
569,AIMP1
570,AIMP2
571,AIP
572,AJM1
573,AK2
574,AK3
575,AK6
576,AK9
577,AKAP1
578,AKAP10
579,AKAP11
580,AKAP13
581,AKAP17A
582,AKAP5
583,AKAP7
584,AKAP8
585,AKAP8L
586,AKAP9
587,AKIP1
588,AKIRIN1
589,AKIRIN2
590,AKNA
591,AKR1A1
592,AKR1B1
593,AKR7A2
594,AKT1
595,AKT1S1
596,AKT2
597,AKT3
598,AKTIP
599,AL021155.5
600,AL021707.1
601,AL021918.5
602,AL031428.1
603,AL031727.2
604,AL031728.1
605,AL031772.1
606,AL035530.2
607,AL035587.2
608,AL035634.1
609,AL049828.1
610,AL049869.3
611,AL050309.1
612,AL050341.2
613,AL078459.1
614,AL078600.1
615,AL080276.2
616,AL096794.1
617,AL096870.8
618,AL109761.1
619,AL118516.1
620,AL121603.2
621,AL121787.1
622,AL121820.1
623,AL121944.1
624,AL121985.1
625,AL122035.1
626,AL133268.4
627,AL133330.1
628,AL133415.1
629,AL133480.1
630,AL133523.1
631,AL135791.1
632,AL135818.1
633,AL135905.2
634,AL135925.1
635,AL136038.3
636,AL136038.5
637,AL136040.2
638,AL136454.1
639,AL136456.1
640,AL136962.1
641,AL137003.1
642,AL137009.1
643,AL137779.2
644,AL137856.1
645,AL138720.1
646,AL138724.1
647,AL138778.1
648,AL138963.4
649,AL138966.2
650,AL139011.1
651,AL139089.1
652,AL139099.1
653,AL139246.5
654,AL139260.1
655,AL139274.2
656,AL139383.1
657,AL139807.1
658,AL157394.3
659,AL157402.2
660,AL157786.1
661,AL157912.1
662,AL157938.2
663,AL158071.1
664,AL158071.4
665,AL158152.1
666,AL158207.2
667,AL161421.1
668,AL162231.2
669,AL162253.2
670,AL162258.2
671,AL162377.1
672,AL163051.1
673,AL353708.3
674,AL353759.1
675,AL353807.5
676,AL354733.3
677,AL354740.1
678,AL355075.4
679,AL355490.2
680,AL356124.1
681,AL356234.2
682,AL356417.3
683,AL356512.1
684,AL357992.1
685,AL359220.1
686,AL359513.1
687,AL360091.3
688,AL360178.1
689,AL365272.1
690,AL365295.1
691,AL365356.1
692,AL365361.1
693,AL390728.5
694,AL390728.6
695,AL390957.1
696,AL391069.2
697,AL391832.4
698,AL391863.1
699,AL392046.1
700,AL392172.1
701,AL441992.1
702,AL445471.1
703,AL445524.1
704,AL450992.1
705,AL450992.3
706,AL450998.2
707,AL451085.1
708,AL451085.2
709,AL451165.2
710,AL499604.1
711,AL512625.3
712,AL513303.1
713,AL513550.1
714,AL590550.1
715,AL590764.1
716,AL591043.2
717,AL591368.1
718,AL592183.1
719,AL592429.2
720,AL603756.1
721,AL606489.1
722,AL606807.1
723,AL627171.1
724,AL627171.2
725,AL645465.1
726,AL645568.1
727,AL645728.1
728,AL645941.3
729,AL662844.4
730,AL691403.1
731,AL691432.2
732,AL731577.2
733,ALAD
734,ALAS1
735,ALCAM
736,ALDH16A1
737,ALDH18A1
738,ALDH3A2
739,ALDH6A1
740,ALDH9A1
741,ALDOA
742,ALDOC
743,ALG1
744,ALG11
745,ALG12
746,ALG13
747,ALG2
748,ALG3
749,ALG5
750,ALG6
751,ALG8
752,ALG9
753,ALKBH1
754,ALKBH2
755,ALKBH3
756,ALKBH4
757,ALKBH5
758,ALKBH6
759,ALKBH7
760,ALKBH8
761,ALMS1
762,ALOX12-AS1
763,ALOX5AP
764,ALPK1
765,ALS2
766,ALYREF
767,AMBRA1
768,AMD1
769,AMDHD2
770,AMFR
771,AMIGO2
772,AMMECR1
773,AMMECR1L
774,AMN1
775,AMPD2
776,AMPD3
777,AMZ2
778,ANAPC1
779,ANAPC10
780,ANAPC11
781,ANAPC13
782,ANAPC15
783,ANAPC16
784,ANAPC2
785,ANAPC4
786,ANAPC5
787,ANAPC7
788,ANGEL1
789,ANGEL2
790,ANK3
791,ANKAR
792,ANKDD1A
793,ANKFY1
794,ANKH
795,ANKHD1
796,ANKIB1
797,ANKLE2
798,ANKMY1
799,ANKMY2
800,ANKRA2
801,ANKRD10
802,ANKRD11
803,ANKRD12
804,ANKRD13A
805,ANKRD13C
806,ANKRD13D
807,ANKRD17
808,ANKRD26
809,ANKRD27
810,ANKRD28
811,ANKRD33B
812,ANKRD35
813,ANKRD36
814,ANKRD36B
815,ANKRD36C
816,ANKRD37
817,ANKRD39
818,ANKRD40
819,ANKRD42
820,ANKRD44
821,ANKRD46
822,ANKRD49
823,ANKRD52
824,ANKRD54
825,ANKRD9
826,ANKS1A
827,ANKS3
828,ANKUB1
829,ANKZF1
830,ANO10
831,ANO6
832,ANO9
833,ANP32A
834,ANP32B
835,ANP32E
836,ANTKMT
837,ANTXR2
838,ANXA1
839,ANXA11
840,ANXA2
841,ANXA2R
842,ANXA4
843,ANXA5
844,ANXA6
845,ANXA7
846,AOAH
847,AOPEP
848,AP000240.1
849,AP000442.1
850,AP000779.1
851,AP000787.1
852,AP000873.2
853,AP000919.2
854,AP000919.3
855,AP001011.1
856,AP001267.1
857,AP001318.2
858,AP001347.1
859,AP001816.1
860,AP002336.2
861,AP002360.1
862,AP002381.2
863,AP002387.2
864,AP002490.1
865,AP002495.1
866,AP002748.4
867,AP002762.2
868,AP003086.1
869,AP003307.1
870,AP003472.1
871,AP003717.4
872,AP003774.2
873,AP005019.1
874,AP005482.1
875,AP006565.1
876,AP1AR
877,AP1B1
878,AP1G1
879,AP1G2
880,AP1M1
881,AP1S1
882,AP1S2
883,AP1S3
884,AP2A1
885,AP2A2
886,AP2B1
887,AP2M1
888,AP2S1
889,AP3B1
890,AP3D1
891,AP3M1
892,AP3M2
893,AP3S1
894,AP3S2
895,AP4B1
896,AP4B1-AS1
897,AP4E1
898,AP4M1
899,AP4S1
900,AP5M1
901,AP5S1
902,AP5Z1
903,APAF1
904,APBA2
905,APBA3
906,APBB1
907,APBB1IP
908,APBB3
909,APC
910,APEH
911,APEX1
912,APEX2
913,APH1A
914,APH1B
915,API5
916,APIP
917,APLF
918,APLP2
919,APMAP
920,APOA1-AS
921,APOBEC3C
922,APOBEC3D
923,APOBEC3F
924,APOBEC3G
925,APOBEC3H
926,APOBR
927,APOL1
928,APOL2
929,APOL3
930,APOL6
931,APOLD1
932,APOM
933,APOO
934,APOOL
935,APP
936,APPBP2
937,APPL1
938,APPL2
939,APRT
940,APTR
941,APTX
942,AQP3
943,AQR
944,ARAF
945,ARAP1
946,ARAP2
947,ARCN1
948,AREG
949,AREL1
950,ARF1
951,ARF3
952,ARF4
953,ARF4-AS1
954,ARF5
955,ARF6
956,ARFGAP1
957,ARFGAP2
958,ARFGAP3
959,ARFGEF1
960,ARFGEF2
961,ARFIP1
962,ARFIP2
963,ARFRP1
964,ARG2
965,ARGLU1
966,ARHGAP1
967,ARHGAP10
968,ARHGAP12
969,ARHGAP15
970,ARHGAP17
971,ARHGAP18
972,ARHGAP19
973,ARHGAP21
974,ARHGAP25
975,ARHGAP26
976,ARHGAP27
977,ARHGAP30
978,ARHGAP31
979,ARHGAP33
980,ARHGAP35
981,ARHGAP4
982,ARHGAP45
983,ARHGAP5
984,ARHGAP9
985,ARHGDIA
986,ARHGDIB
987,ARHGEF1
988,ARHGEF12
989,ARHGEF18
990,ARHGEF19
991,ARHGEF2
992,ARHGEF3
993,ARHGEF40
994,ARHGEF6
995,ARHGEF7
996,ARHGEF9
997,ARID1A
998,ARID1B
999,ARID2
1000,ARID3A
1001,ARID3B
1002,ARID4A
1003,ARID4B
1004,ARID5A
1005,ARID5B
1006,ARIH1
1007,ARIH2
1008,ARIH2OS
1009,ARL1
1010,ARL10
1011,ARL13B
1012,ARL14EP
1013,ARL15
1014,ARL16
1015,ARL17A
1016,ARL17B
1017,ARL2
1018,ARL2BP
1019,ARL3
1020,ARL4A
1021,ARL4C
1022,ARL4D
1023,ARL5A
1024,ARL5B
1025,ARL6
1026,ARL6IP1
1027,ARL6IP4
1028,ARL6IP5
1029,ARL6IP6
1030,ARL8A
1031,ARL8B
1032,ARMC1
1033,ARMC10
1034,ARMC2
1035,ARMC5
1036,ARMC6
1037,ARMC7
1038,ARMC8
1039,ARMC9
1040,ARMCX3
