"","gene_short_name","term","q_value","normalized_effect"
"113","AC004854.2","tissueIEL",0.137336191911096,0.855543180182747
"114","AC004865.2","tissueIEL",1,0.804415150048311
"115","AC004895.1","tissueIEL",1,0.422075814653028
"116","AC004906.1","tissueIEL",1,0.71872123831392
"117","AC004917.1","tissueIEL",1,1.85423936319127e-11
"118","AC004938.2","tissueIEL",1,0.657870320281145
"119","AC004943.2","tissueIEL",0.281976360536458,1.23495944067415
"120","AC004951.1","tissueIEL",1,0.909276584797942
"121","AC004974.1","tissueIEL",1,0.653780231095981
"122","AC005037.1","tissueIEL",1,-0.0740363392437217
"123","AC005041.5","tissueIEL",1,0.0627699075310291
"124","AC005052.2","tissueIEL",0.0543284099823833,1.54996955182314
"125","AC005070.3","tissueIEL",1,-0.453153734591519
"126","AC005083.1","tissueIEL",1,0.992617523845659
"127","AC005225.2","tissueIEL",1,0.168966890529871
"128","AC005229.4","tissueIEL",1,-0.409129794333228
"129","AC005237.1","tissueIEL",1,-0.382026782112728
"130","AC005261.1","tissueIEL",1,-0.398077833927132
"131","AC005264.1","tissueIEL",1,0.434222526425492
"132","AC005332.1","tissueIEL",1,0.431963613051199
"133","AC005332.4","tissueIEL",1,0.621562425692991
"134","AC005332.5","tissueIEL",1,0.665434816786927
"135","AC005332.6","tissueIEL",1,0.400926783714488
"136","AC005355.1","tissueIEL",1,0.318191297034415
"137","AC005363.2","tissueIEL",1,-0.0593124861227551
"138","AC005400.1","tissueIEL",6.23940896018984e-07,-1.15021633723423
"139","AC005476.2","tissueIEL",1,0.241596875678672
"140","AC005480.1","tissueIEL",1,-0.122342439330077
"141","AC005498.3","tissueIEL",1,0.307892250354822
"142","AC005520.2","tissueIEL",1,0.69764246656189
"143","AC005523.2","tissueIEL",1,-0.475644974362804
"144","AC005532.1","tissueIEL",1,0.0482158158400801
"145","AC005540.1","tissueIEL",1,0.158448298268585
"146","AC005562.1","tissueIEL",1,0.581622391685941
"147","AC005614.1","tissueIEL",1,0.0162516424964138
"148","AC005632.3","tissueIEL",1,0.0162516424964138
"149","AC005670.3","tissueIEL",0.403410633356671,0.660356428018296
"150","AC005695.2","tissueIEL",1,1.16014755999697
"151","AC005726.1","tissueIEL",1,0.71825472996633
"152","AC005786.3","tissueIEL",1,1.85423936319127e-11
"153","AC005808.1","tissueIEL",1,0.53417156361666
"154","AC005833.2","tissueIEL",1,0.0162516424964138
"155","AC005837.1","tissueIEL",1,0.985738160354682
"156","AC005842.1","tissueIEL",1,0.802882231623364
"157","AC005856.1","tissueIEL",1,0.183888679721492
"158","AC005899.8","tissueIEL",0.878065460728521,-0.67070044736837
"159","AC005920.2","tissueIEL",1,-0.554974546687481
"160","AC005944.1","tissueIEL",1,0.243326025538483
"161","AC005972.3","tissueIEL",1,0.409825965160374
"162","AC006001.2","tissueIEL",1,0.0316681232948862
"163","AC006042.2","tissueIEL",1,0.704423464409567
"164","AC006059.1","tissueIEL",1,0.162850833384905
"165","AC006064.2","tissueIEL",1,0.233435865010823
"166","AC006064.4","tissueIEL",1,-0.468040732631251
"167","AC006064.5","tissueIEL",1,0.0639361966983808
"168","AC006141.1","tissueIEL",1,-0.559853955602156
"169","AC006160.1","tissueIEL",1,0.872955313359709
"170","AC006207.1","tissueIEL",1,0.741309118135864
"171","AC006213.2","tissueIEL",1,1.06063484547019
"172","AC006252.1","tissueIEL",1,0.294628822507143
"173","AC006299.1","tissueIEL",1,0.838636687263896
"174","AC006333.2","tissueIEL",1,-0.107708220368314
"175","AC006369.1","tissueIEL",1,0.190284329856544
"176","AC006372.3","tissueIEL",1,1.85423936319127e-11
"177","AC006387.1","tissueIEL",1,0.698721427369854
"178","AC006449.6","tissueIEL",1,-0.315199883063343
"179","AC006460.1","tissueIEL",1,-0.391899331551519
"180","AC006460.2","tissueIEL",1,0.268619254083408
"181","AC006504.5","tissueIEL",1,0.53610816992611
"182","AC006511.6","tissueIEL",1,1.32578132760716
"183","AC006581.1","tissueIEL",1,1.85423936319127e-11
"184","AC006581.2","tissueIEL",1,0.0482158158400851
"185","AC006942.1","tissueIEL",1,0.187899354117263
"186","AC006960.2","tissueIEL",1,0.0323222549655572
"187","AC006994.2","tissueIEL",1,1.10042272538438
"188","AC007032.1","tissueIEL",1,0.0594427157893008
"189","AC007038.1","tissueIEL",1,0.37842617726896
"190","AC007114.1","tissueIEL",1,0.400952471417967
"191","AC007163.1","tissueIEL",1,-0.545017918846428
"192","AC007216.4","tissueIEL",1,0.496860931671022
"193","AC007262.2","tissueIEL",1,1.85423936319127e-11
"194","AC007349.2","tissueIEL",1,1.49768040034464
"195","AC007349.3","tissueIEL",1,1.85423936319127e-11
"196","AC007365.1","tissueIEL",1,0.768851217365164
"197","AC007383.2","tissueIEL",1,0.308615984230471
"198","AC007384.1","tissueIEL",1,0.0695113163977663
"199","AC007448.4","tissueIEL",1,0.581103461189344
"200","AC007448.5","tissueIEL",1,1.85423936319127e-11
"201","AC007450.1","tissueIEL",1,1.85423936319127e-11
"202","AC007513.1","tissueIEL",1,0.291825704262966
"203","AC007541.1","tissueIEL",1,1.17424029806331
"204","AC007566.1","tissueIEL",1,0.307892250354797
"205","AC007569.1","tissueIEL",1,0.498950923065689
"206","AC007613.1","tissueIEL",1,0.88724068631223
"207","AC007619.1","tissueIEL",1,-0.123319388758285
"208","AC007622.2","tissueIEL",1,-0.652949607040302
"209","AC007686.4","tissueIEL",1,1.85423936319127e-11
"210","AC007728.1","tissueIEL",1,-0.443970440698337
"211","AC007728.2","tissueIEL",1,0.263342435144649
"212","AC007773.1","tissueIEL",1,0.346966236995874
"213","AC007780.1","tissueIEL",1,0.496129420630579
"214","AC007786.1","tissueIEL",1,0.0323222549655575
"215","AC007881.3","tissueIEL",1,0.334058805303077
"216","AC007952.4","tissueIEL",9.65019774716692e-18,0.986632809502306
"217","AC008014.1","tissueIEL",0.0235051169920597,0.773744845605707
"218","AC008035.1","tissueIEL",0.00715355107900508,1.52474072909671
"219","AC008040.1","tissueIEL",1,0.409825965160408
"220","AC008063.1","tissueIEL",1,1.85423936319127e-11
"221","AC008074.2","tissueIEL",1,0.162148336661176
"222","AC008083.2","tissueIEL",1,0.359759212380889
"223","AC008083.3","tissueIEL",1,0.796397881526575
"224","AC008105.1","tissueIEL",1,0.777109085864429
"225","AC008105.3","tissueIEL",1,0.0674801026782989
"226","AC008115.1","tissueIEL",1,-0.0434189187082792
"227","AC008124.1","tissueIEL",1,0.057110493715133
"228","AC008149.2","tissueIEL",1,1.85423936319127e-11
"229","AC008267.5","tissueIEL",1,0.616246487338429
"230","AC008269.1","tissueIEL",1,1.85423936319127e-11
"231","AC008378.1","tissueIEL",1,0.668273898467079
"232","AC008393.1","tissueIEL",1,0.321034850762253
"233","AC008397.1","tissueIEL",1,0.502630307668172
"234","AC008438.1","tissueIEL",1,0.108112414472137
"235","AC008440.1","tissueIEL",1,0.636776118976476
"236","AC008440.2","tissueIEL",1,-0.446350929028492
"237","AC008443.1","tissueIEL",1,0.475624002353275
"238","AC008443.5","tissueIEL",1,0.405532203217502
"239","AC008462.1","tissueIEL",1,0.0482158158400801
"240","AC008467.1","tissueIEL",1,0.0323222549655575
"241","AC008537.4","tissueIEL",1,0.411234271108268
"242","AC008549.2","tissueIEL",1,0.098339229099306
"243","AC008554.1","tissueIEL",1,-0.161543516832085
"244","AC008555.2","tissueIEL",1,0.0639361966983802
"245","AC008555.4","tissueIEL",1,0.378283320374633
"246","AC008569.1","tissueIEL",0.187490582070064,-0.691177564799853
"247","AC008569.2","tissueIEL",1,1.85423936319127e-11
"248","AC008608.2","tissueIEL",1,-0.00332124565022259
"249","AC008610.1","tissueIEL",1,0.819970757433463
"250","AC008622.2","tissueIEL",1,-0.478673186308206
"251","AC008629.1","tissueIEL",1,-0.0276985337685886
"252","AC008649.2","tissueIEL",1,0.0162516424964138
"253","AC008667.1","tissueIEL",1,0.34258785829961
"254","AC008696.2","tissueIEL",1,0.618436134564908
"255","AC008735.2","tissueIEL",1,-0.226918632026556
"256","AC008750.4","tissueIEL",1,0.307892250354796
"257","AC008750.7","tissueIEL",1,1.85423936319127e-11
"258","AC008763.1","tissueIEL",1,1.0617988388366
"259","AC008764.8","tissueIEL",1,0.189399690283842
"260","AC008771.1","tissueIEL",1,-0.479376414059365
"261","AC008875.2","tissueIEL",1,1.09486032692997
"262","AC008875.3","tissueIEL",2.21206211708832e-07,0.675192772025223
"263","AC008892.1","tissueIEL",0.0136375535468446,0.657444533933747
"264","AC008897.2","tissueIEL",1,1.3469768912892
"265","AC008914.1","tissueIEL",1,0.217324771723521
"266","AC008915.2","tissueIEL",1,0.0323222549655572
"267","AC008937.2","tissueIEL",1,-0.462502373956139
"268","AC008966.1","tissueIEL",1,0.372439694940475
"269","AC008969.1","tissueIEL",1,0.610965952733796
"270","AC009005.1","tissueIEL",1,0.668192051618807
"271","AC009041.1","tissueIEL",1,1.85423936319127e-11
"272","AC009041.2","tissueIEL",1,0.362657702822771
"273","AC009053.2","tissueIEL",1,-0.273754620706461
"274","AC009061.2","tissueIEL",1,0.64933171576129
"275","AC009093.2","tissueIEL",1,0.65769817762399
"276","AC009107.2","tissueIEL",1,0.878377435047538
"277","AC009113.1","tissueIEL",1,0.339358802983927
"278","AC009118.2","tissueIEL",1,0.307892250354796
"279","AC009120.2","tissueIEL",1,0.459570933374449
"280","AC009126.1","tissueIEL",1,0.167818735526965
"281","AC009133.1","tissueIEL",1,0.677303008384018
"282","AC009133.3","tissueIEL",1,0.505499237989734
"283","AC009163.7","tissueIEL",1,0.493467829909606
"284","AC009185.1","tissueIEL",1,-0.00500776386677954
"285","AC009226.1","tissueIEL",1,0.186006794415666
"286","AC009228.1","tissueIEL",1,0.0162516424964138
"287","AC009299.3","tissueIEL",1,-0.387385069694058
"288","AC009303.2","tissueIEL",1,-0.1921020928248
"289","AC009309.1","tissueIEL",1,0.168801096523848
"290","AC009313.1","tissueIEL",1.29679023664627e-14,0.757723166589928
"291","AC009315.1","tissueIEL",1,0.294628822507142
"292","AC009318.1","tissueIEL",1,0.0162516424964138
"293","AC009403.1","tissueIEL",1,0.661091307848345
"294","AC009403.2","tissueIEL",1,0.561492955402487
"295","AC009404.1","tissueIEL",1,0.356730138377856
"296","AC009486.2","tissueIEL",1,-0.211093516905394
"297","AC009495.3","tissueIEL",1,0.422075814653062
"298","AC009505.1","tissueIEL",1,-0.478673186308206
"299","AC009509.1","tissueIEL",1,0.572525049976895
"300","AC009522.1","tissueIEL",1,0.481029559645488
"301","AC009554.1","tissueIEL",1,0.697153565783906
"302","AC009560.4","tissueIEL",1,0.422075814653064
"303","AC009630.1","tissueIEL",1,0.181760328548215
"304","AC009690.2","tissueIEL",1,0.0760308770591519
"305","AC009754.2","tissueIEL",1,0.0162516424964138
"306","AC009779.2","tissueIEL",1,1.76141572885503
"307","AC009812.1","tissueIEL",1,0.318825804920808
"308","AC009831.1","tissueIEL",1,0.636878763824424
"309","AC009879.4","tissueIEL",1,0.810508365246435
"310","AC009951.5","tissueIEL",1,-0.0930406329441754
"311","AC009961.1","tissueIEL",1,0.651671570841846
"312","AC010149.1","tissueIEL",1,0.737110001799882
"313","AC010168.1","tissueIEL",1,-0.0121476096437592
"314","AC010168.2","tissueIEL",1,0.513489354977317
"315","AC010175.1","tissueIEL",1,1.85423936319127e-11
"316","AC010186.1","tissueIEL",1,0.0482158158400795
"317","AC010186.3","tissueIEL",1,0.493467829909566
"318","AC010198.2","tissueIEL",1,0.647474209870554
"319","AC010201.3","tissueIEL",1,1.85423936319127e-11
"320","AC010226.1","tissueIEL",1,-0.211067017231753
"321","AC010247.1","tissueIEL",1,0.257402554106639
"322","AC010275.1","tissueIEL",1,-0.332386637694111
"323","AC010331.1","tissueIEL",1,0.307892250354796
"324","AC010336.8","tissueIEL",1,0.813170819410442
"325","AC010359.3","tissueIEL",1,1.85423936319127e-11
"326","AC010491.1","tissueIEL",1,0.493467829909609
"327","AC010531.3","tissueIEL",1,0.590933801058855
"328","AC010609.1","tissueIEL",0.0140550317350562,-0.629802307788522
"329","AC010615.2","tissueIEL",1,0.424866435225047
"330","AC010618.3","tissueIEL",1,0.490946515465113
"331","AC010624.3","tissueIEL",1,0.143598737742551
"332","AC010642.2","tissueIEL",1,0.19836228485752
"333","AC010654.1","tissueIEL",1,0.507142188457792
"334","AC010754.1","tissueIEL",1,0.278795417322032
"335","AC010834.2","tissueIEL",1,0.256427438156954
"336","AC010864.1","tissueIEL",1,0.122149840338592
"337","AC010883.2","tissueIEL",1,0.657870320281139
"338","AC010883.3","tissueIEL",1,0.322980916004294
"339","AC010884.1","tissueIEL",1,0.0639361966983811
"340","AC010894.3","tissueIEL",1,0.404992611991942
"341","AC010894.4","tissueIEL",1,0.0250928073776135
"342","AC010967.1","tissueIEL",1,0.0162516424964138
"343","AC010976.1","tissueIEL",1,-0.185276311401091
"344","AC010978.1","tissueIEL",1,-0.617936156599164
"345","AC011246.1","tissueIEL",1,0.0639361966983811
"346","AC011247.1","tissueIEL",1,0.185348539547782
"347","AC011287.1","tissueIEL",1,0.0484321688683207
"348","AC011313.1","tissueIEL",1,1.85423936319127e-11
"349","AC011346.1","tissueIEL",1,0.48181180791619
"350","AC011444.1","tissueIEL",1,-0.0319081103347486
"351","AC011444.3","tissueIEL",1,0.934808664132998
"352","AC011445.1","tissueIEL",1,0.605124023103371
"353","AC011446.2","tissueIEL",0.000252579056459754,1.19462348085627
"354","AC011446.3","tissueIEL",1,0.0482158158400795
"355","AC011447.3","tissueIEL",1,0.831378689066949
