,Gene,Gene_name,Ensembl_ID,Shift_to_goal_end,Goal_end_vs_random_pval,Goal_end_FDR,N_Detections,Sig
4007,5999,TMOD2,ENSG00000128872,0.001320647696654002,0.04164976141435302,0.2005469660920912,36,0
4969,7517,FAM26B,ENSG00000138172,0.0013188266328402927,0.03110921380399863,0.1636780998966637,35,0
2619,3843,MDM20,ENSG00000111300,0.0013177227228879929,0.028803506367205835,0.15481163141652515,36,0
6397,9889,KIAA0804,ENSG00000156931,0.0013170885267081084,0.028152167943064695,0.15237964565751666,27,0
5937,9097,EPG4,ENSG00000149547,0.0013142279349267483,0.010004563432785565,0.07284096158469423,48,0
5214,7893,HNDF,ENSG00000140632,0.0013134649489074945,0.0863800687352807,0.31844858329625136,32,0
7798,12418,BSCL,ENSG00000169692,0.001312872933016883,0.020800978396406416,0.12363053965665467,45,0
4038,6047,SLC66A5,ENSG00000129255,0.00131207425147295,0.03362458996104444,0.1736757829090442,32,0
1079,1566,RPML25,ENSG00000082515,0.0013091384859408362,0.00719833823204676,0.056698805105284605,59,0
4125,6197,SPGF78,ENSG00000130518,0.0013089931823990562,0.3887459603378718,0.695889648340512,11,0
7781,12392,DTWD2,ENSG00000169570,0.001308347408970197,0.18713760134837865,0.48728451147218593,12,0
125,203,CDKL5,ENSG00000008086,0.00130811408162117,0.12605993682408614,0.39676337496548414,10,0
8419,13631,SLC35E3,ENSG00000175782,0.0013065993785858153,0.04114381725556607,0.19936353727087297,15,0
10375,18181,GALT4,ENSG00000235863,0.0013044590751330057,0.2140301648530536,0.5215067582400175,15,0
1433,2066,SCDOS,ENSG00000099194,0.0013032421469688416,0.30045583470845205,0.6207620573107684,10,0
4963,7501,DTNB,ENSG00000138101,0.0013024562666582506,0.041714760681348294,0.20076983068169785,43,0
7969,12758,NEOT2,ENSG00000171208,0.0013018805872310293,0.13027544786403986,0.4043080205258093,11,0
1363,1960,TIN2,ENSG00000092330,0.0013011989055895339,0.017450071719555194,0.10966864054328537,51,0
9663,16470,HD,ENSG00000197386,0.0013011632753270014,0.018338626953278578,0.11326240066480862,28,0
1625,2336,ALKBH,ENSG00000100601,0.0013006006677945454,0.04041154048224293,0.19713069928997193,21,0
1491,2155,SLC35E4,ENSG00000100036,0.0012988336384296417,0.39491156642730907,0.7010801773108349,2,0
5779,8840,SDJLABA,ENSG00000147408,0.0012967495454682244,0.9872086908339368,0.9960535782777141,9,0
10547,18787,C17ORF100,ENSG00000256806,0.0012967027723789215,0.1603220784135687,0.45024483173318464,6,0
3090,4544,CDC42L1,ENSG00000116574,0.0012965425848960876,0.28338034768474163,0.6065358019218586,6,0
3201,4705,MAN1C,ENSG00000117643,0.0012964563710348947,0.18477454162828344,0.4849391213518131,7,0
8896,14668,EXO70,ENSG00000182473,0.0012957684018395164,0.012031985593761793,0.08282518367719244,33,0
8159,13142,IMD68,ENSG00000172936,0.0012956839619260845,0.04757202565595986,0.2188093847239987,33,0
7151,11221,ELAPOR2,ENSG00000164659,0.0012955082690014558,0.08438456785674313,0.3146099847139388,17,0
3664,5445,FASTKD3,ENSG00000124279,0.0012943528592586518,0.16537217025375872,0.4577387643183559,10,0
3752,5591,TFIII90,ENSG00000125484,0.0012937809030214946,0.009516436356112965,0.07021480689709758,30,0
6041,9280,ACAD-8,ENSG00000151498,0.0012931275096806612,0.1181209892660779,0.384433534180065,11,0
737,1050,SRBD1,ENSG00000068784,0.001291435349870611,0.09008818347884275,0.32595818966645024,27,0
4009,6001,ELL3,ENSG00000128886,0.001291222870349884,0.4012981383892723,0.7076529060693153,2,0
6753,10497,C16ORF33,ENSG00000161981,0.0012909056475529303,0.011476375773613441,0.07994711642813311,26,0
10126,17451,C3ORF16,ENSG00000206199,0.0012909028875200373,0.12506660863591296,0.3959656363950479,19,0
9615,16389,ZMYM1,ENSG00000197056,0.0012908615171909332,0.30985523713631347,0.6301047635066395,10,0
5527,8379,GCG1,ENSG00000143942,0.001290663292533473,0.04600917371759482,0.2145546275902756,19,0
6871,10713,C2ORF63,ENSG00000162994,0.0012893573595927311,0.12066932398027905,0.38851755932185883,13,0
4497,6772,SPIR-1,ENSG00000134278,0.0012892087300618489,0.3564025917869905,0.6717321885463705,3,0
6760,10517,ADCY9,ENSG00000162104,0.0012883255258202553,0.270792406264198,0.5916621047662558,16,0
832,1194,RNF196,ENSG00000072609,0.0012871922647699396,0.020247034065123307,0.12147879367173323,47,0
5930,9084,TMEM138,ENSG00000149483,0.0012869398902963709,0.046558480238709794,0.21594439083479405,27,0
8370,13540,ARHGAP1,ENSG00000175220,0.0012855629126230876,0.18581736913136415,0.4863484750645046,24,0
4281,6436,FBXW9,ENSG00000132004,0.0012832656502723694,0.5511800881031612,0.8085392572362068,1,0
2745,4031,ZIP7,ENSG00000112473,0.001283055047194163,0.025016094187243338,0.1393189033506819,30,0
4597,6937,KCP,ENSG00000135253,0.0012828242033720016,0.32333618054508384,0.6430757406169186,4,0
1395,2009,TRICB,ENSG00000095209,0.0012827452860380475,0.05758187820591005,0.24868695225161153,19,0
1617,2326,MAAID,ENSG00000100577,0.0012819711118936539,0.2983353066663632,0.6185815944949256,4,0
8451,13698,ELG1,ENSG00000176208,0.001281806482718541,0.12339768890933558,0.3928942797893581,13,0
4320,6487,TMEM128,ENSG00000132406,0.0012814065112787135,0.04816449182282538,0.22041291513751207,17,0
7059,11056,PPM1M,ENSG00000164088,0.0012795972327391306,0.07904362095542523,0.3032832495027904,30,0
5486,8319,EHK1-L,ENSG00000143590,0.001277799407641093,0.1251914744400907,0.3959915971735772,9,0
6462,10009,AGAP1,ENSG00000157985,0.0012770554139500572,0.23898014479722007,0.5537319640139475,21,0
8221,13256,MOB1B,ENSG00000173542,0.0012770484273250287,0.08915968236040019,0.3242390075804655,26,0
6302,9735,ZNF694,ENSG00000155592,0.0012766793370246887,0.31338264430962115,0.6331744712008909,4,0
3371,4959,HMSL1V1,ENSG00000120071,0.0012762394733726978,0.006832771945159972,0.05445912141729285,80,0
5497,8336,MLK4,ENSG00000143674,0.0012753400951623917,0.3179440934305916,0.6380292245273825,8,0
4866,7345,TCF19,ENSG00000137310,0.0012748663624127705,0.2906457836689015,0.6119556208047474,9,0
561,812,OGFR,ENSG00000060491,0.0012748204171657562,0.012962103415471998,0.08789977587938282,48,0
3877,5785,C14ORF149,ENSG00000126790,0.0012722037732601165,0.14286547765771646,0.4252133846221315,10,0
1638,2354,GLOW,ENSG00000100697,0.0012711294643256974,0.013626097153048895,0.09113514355231206,46,0
4388,6599,CHRM3,ENSG00000133019,0.0012709593772888184,0.08833927566863199,0.32232963291840616,25,0
5941,9103,EVA1,ENSG00000149573,0.0012704751321247645,0.040342926655693286,0.19708511710486226,21,0
1024,1481,C20ORF5,ENSG00000080189,0.0012693461673013095,0.019326070088430014,0.11720185410326579,29,0
8164,13155,DCAKD,ENSG00000172992,0.0012685589137531462,0.033655416904732074,0.1737513534908401,21,0
6386,9873,C8ORF32,ENSG00000156795,0.0012677624821662904,0.17190124058800593,0.4672299237466753,10,0
3313,4879,BKA,ENSG00000119616,0.0012677458505476675,0.01763190799180147,0.11043980343891345,31,0
5260,7961,TPCR16,ENSG00000141194,0.0012666374444961549,0.4614198402989431,0.7514855809419869,5,0
794,1140,HGK,ENSG00000071054,0.0012659395343801948,0.016065936943554498,0.10311823038105163,89,0
1991,2896,EMC2,ENSG00000104412,0.0012645798602274486,0.04500239855526363,0.21142060452300124,28,0
8216,13249,FKBP13,ENSG00000173486,0.0012636798269608442,0.013313312267838046,0.0896000087886845,34,0
6810,10611,LRRIQ3,ENSG00000162620,0.001263495534658432,0.25154079480766633,0.5697423494648284,4,0
9648,16449,RECQ2,ENSG00000197299,0.0012631067498163743,0.03935612684528694,0.1931438832553698,22,0
6908,10795,ABRAXAS1,ENSG00000163322,0.0012615047968350924,0.045029424373823186,0.21142060452300124,26,0
9763,16670,ZNF248,ENSG00000198105,0.0012601232156157494,0.07010405295036475,0.28182364999621423,16,0
910,1317,DLGH1,ENSG00000075711,0.0012578519526869059,0.013527896421837072,0.09064789057680707,64,0
10033,17189,CAT56,ENSG00000204576,0.0012569268544514974,0.012384563361011689,0.08473316054651364,30,0
1260,1810,SULEHS,ENSG00000089123,0.0012563493463300889,0.21562610582451536,0.5244245892734983,31,0
3914,5842,FHFR,ENSG00000127418,0.0012546247906155055,0.36016608965786545,0.674321432783522,9,0
609,884,BLS,ENSG00000064490,0.001253307279613283,0.020472593523931278,0.12249301914374498,36,0
10067,17295,TMEM231,ENSG00000205084,0.001251220703125,0.0943652209962415,0.3347023173242619,13,0
8903,14682,LIMK2,ENSG00000182541,0.0012509000953286886,0.0322015361616197,0.16780227202969336,32,0
754,1075,FUNDC1,ENSG00000069509,0.0012501999735832214,0.2740196298200428,0.5959159896992166,5,0
1560,2254,APOL-I,ENSG00000100342,0.0012484099715948105,0.603492425749615,0.8377159723547886,8,0
5981,9186,FSIP1,ENSG00000150667,0.0012471896409988403,0.022577685746604844,0.13044952987155298,25,0
6355,9828,C10ORF78,ENSG00000156384,0.0012466886546462774,0.09650140877984671,0.3385438565697173,32,0
311,468,VRK2,ENSG00000028116,0.0012461341057832425,0.013838954731235127,0.09221385487993194,52,0
