standard_gene_names,Gene,Gene_name,Ensembl_ID,Shift_to_goal_end,Goal_end_vs_random_pval,Goal_end_FDR,N_Detections,Sig,-log10_FDR
LUC7L,187,LUC7,ENSG00000007392,0.000162420173486,0.2681449645599291,0.718089597773527,81,0,0.14382136440537122
RGCC,2680,BA157L14.2,ENSG00000102760,0.0001623808401417,0.2320704443619939,0.6834794729152986,191,0,0.1652745241590471
IMMT,6467,P89,ENSG00000132305,0.0001619508320635,0.4131715359075097,0.8159850110262519,55,0,0.08831781880542329
SFI1,16664,SFI1,ENSG00000198089,0.0001618474339827,0.3503623044078912,0.7755587184463205,39,0,0.11038531566876464
CTBS,4635,CTBS,ENSG00000117151,0.0001617107344301,0.3046470444352721,0.7449382729910011,38,0,0.1278797122316139
ZNF324,1599,ZNF324,ENSG00000083812,0.0001615345478057,0.6154586465284632,0.9013422776331684,15,0,0.04511025778942493
DISC1,10700,DISC1,ENSG00000162946,0.0001613477967223,0.2787256941652316,0.7290785591248773,49,0,0.13722567338812433
MISFA,18478,MISFA,ENSG00000247595,0.0001605053742726,0.6180699475330846,0.9019173836463166,12,0,0.04483324235803599
BHLHE40,6735,BHLHE40,ENSG00000134107,0.0001602880656719,0.3844726128668838,0.7955869980272164,146,0,0.09931232299754461
CYSTM1,4988,C5ORF32,ENSG00000120306,0.0001591655845735,0.6963535327590524,0.9301151308686766,51,0,0.03146329057911955
NSMCE2,9876,MMS21,ENSG00000156831,0.0001590588750938,0.447787331235746,0.8294569221837541,48,0,0.08120616412267195
BMAL1,6693,ARNTL1,ENSG00000133794,0.0001587138093751,0.2260863515412684,0.6766684994642261,87,0,0.16962404049198368
DLEU7,15415,DLEU1-AS1,ENSG00000186047,0.00015829205513,0.7393296052393139,0.940297817713478,5,0,0.02673457182095582
PIP4K2A,9205,PIPK,ENSG00000150867,0.0001581078480689,0.0678200078285084,0.3974606892159724,218,0,0.4007058187077094
GNB1,1417,GNB1,ENSG00000078369,0.0001580682930661,0.3105422122072921,0.7486604445479704,134,0,0.12571511220167397
ACTR8,4197,HARP8,ENSG00000113812,0.0001579615123131,0.6134905805871472,0.9004240028352624,17,0,0.04555293641700671
ARRDC4,7854,ARRDC4,ENSG00000140450,0.0001575425267219,0.8571309313888773,0.9704660337826796,1,0,0.013019660274482998
PUSL1,12483,PUSL1,ENSG00000169972,0.000157443806529,0.7990456663573113,0.9529943547953356,8,0,0.020909671962404352
JAK1,10566,JAK1,ENSG00000162434,0.0001574160620635,0.3631706423317582,0.781213547976992,229,0,0.10723023368854942
CCNI,4806,CCNI1,ENSG00000118816,0.000157298640378,0.110860852839865,0.4949643870495233,248,0,0.3054260476609257
TRMT1L,5121,C1ORF25,ENSG00000121486,0.0001571845263242,0.5130339747747701,0.8610543211273082,20,0,0.06496944945032475
TBC1D31,9872,GM85,ENSG00000156787,0.0001570176213018,0.5193498781815931,0.8642287520671635,31,0,0.06337128922081148
ZNF20,6438,ZNF20,ENSG00000132010,0.0001566335558891,0.8465810641120255,0.9668070317560972,4,0,0.014660199553417588
SBF1,2214,CMT4B3,ENSG00000100241,0.0001566285888353,0.3950566476434793,0.8043664793675807,30,0,0.0945460361969043
ZNF362,10260,ZNF362,ENSG00000160094,0.0001565769314765,0.6578917659165947,0.9166368762716312,10,0,0.03780267508694074
SBF2,6696,CMT4B2,ENSG00000133812,0.0001565082264798,0.6448602345233169,0.9122652362015432,28,0,0.039878874531691026
ARID2,16040,CSS6,ENSG00000189079,0.0001563037435213,0.4842019942809071,0.8459813059269669,75,0,0.07263923367783673
LRRC8C,12821,LRRC8C,ENSG00000171488,0.0001560604676257,0.2871577082825587,0.7364412465459907,86,0,0.13286189555412709
HERPUD1,688,HERPUD1,ENSG00000051108,0.0001560071564239,0.2334872414094476,0.6848735549054632,230,0,0.16438960292481225
GFOD1,8663,GFOD1,ENSG00000145990,0.0001557680671332,0.9340901801176936,0.9871275324833484,61,0,0.005626734791586199
AZIN1,9694,OAZI,ENSG00000155096,0.0001557177938191,0.2149928847646995,0.6638310275633807,113,0,0.17794245246275056
IFT70A,16510,IFT70A,ENSG00000197557,0.0001554755227906,0.6166365997011559,0.9015237792051732,14,0,0.04502281354347469
HEATR1,4840,HEATR1,ENSG00000119285,0.0001546991989016,0.4366694689241155,0.8260788398159618,32,0,0.0829785022400537
ZNF622,13257,ZPR9,ENSG00000173545,0.0001542337660519,0.3940412447142155,0.8039271203499396,53,0,0.09478332023722645
ZC3HAV1,3196,ZC3HDC2,ENSG00000105939,0.0001541408631256,0.0186269132133738,0.1901124971441751,236,0,0.7209893336218632
MBTD1,290,MBTD1,ENSG00000011258,0.0001540990436778,0.6662752183317138,0.9201433054302148,17,0,0.03614452927307195
IRS1,12277,HIRS-1,ENSG00000169047,0.0001536756753921,0.8133909342388955,0.9578092372299346,2,0,0.01872097888388505
GTPBP3,6159,THDF1,ENSG00000130299,0.0001534284914241,0.6675369360999656,0.920546591730178,17,0,0.0359542256072846
MTERF2,5054,MTERFD3,ENSG00000120832,0.0001525374559255,0.7700255162383687,0.9468402549653198,13,0,0.02372328629674934
ATP10D,8556,ATP10D,ENSG00000145246,0.0001519265770912,0.6911016568715627,0.9301151308686766,25,0,0.03146329057911955
TOR2A,10326,TOR2A,ENSG00000160404,0.000151743943041,0.5111070838608167,0.8591641172419704,22,0,0.06592386945786619
TMEM131L,5093,KIAA0922,ENSG00000121210,0.0001516570878583,0.3790110429346023,0.7919022478604117,86,0,0.10132842426267151
CHD1,9556,PILBOS,ENSG00000153922,0.000151571046601,0.0965652274006949,0.4626376606806617,186,0,0.3347590167014543
CINP,2378,CINP,ENSG00000100865,0.0001514936486879,0.6244253511623907,0.9044750073739404,15,0,0.04360342914639707
SYAP1,12461,BSTA,ENSG00000169895,0.0001513068958864,0.23188443022976,0.6832125362593533,118,0,0.165444173381243
ZDHHC13,13839,ZDHHC13,ENSG00000177054,0.0001513063907623,0.6658647653266274,0.9201433054302148,14,0,0.03614452927307195
CHMP4B,2505,CTPP3,ENSG00000101421,0.0001512855912248,0.4447464022625158,0.8292968748713648,48,0,0.08128997121321571
ZMAT2,8667,PTG-12,ENSG00000146007,0.0001512218473686,0.1173658903471076,0.509256790780997,72,0,0.2930631711072752
GZMB,2300,SECT,ENSG00000100453,0.0001509342949057,0.8990497048579772,0.9818440901269698,86,0,0.007957469619612193
