standard_gene_names,Gene,Gene_name,Ensembl_ID,Shift_to_goal_end,Goal_end_vs_random_pval,Goal_end_FDR,N_Detections,Sig,-log10_FDR
TADA3,12741,HADA3,ENSG00000171148,0.0007693718733458,0.1711297665630323,0.465841191496628,58,0,0.33176211208999123
NHP2,8652,NHP2,ENSG00000145912,0.0007693349993486,0.0135464859242175,0.0907157933801533,139,0,1.0423170968345954
MAP3K12,7741,MEKK12,ENSG00000139625,0.0007692486979067,0.3031005198166738,0.624050973609632,16,0,0.20477993491173715
SPART,6616,TAHCCP1,ENSG00000133104,0.0007686497022708,0.1303273970325627,0.4043080205258093,72,0,0.3932876431937788
SECISBP2L,7574,SBP2L,ENSG00000138593,0.000768471956253,0.140541354544596,0.4209178256712524,75,0,0.3758026816961865
CD164,7000,MGC-24,ENSG00000135535,0.0007683988660573,0.0294659769902259,0.1572691548015641,116,0,0.8033564471990711
SMURF2,3571,SMURF2,ENSG00000108854,0.0007681583755471,0.0819548292110281,0.3104560055705895,89,0,0.5079999345909382
TM2D3,15036,TM2D3,ENSG00000184277,0.000767875966188,0.1019344044795816,0.3504975292490229,74,0,0.45531503914467647
TMEM107,14152,TMEM107,ENSG00000179029,0.0007678732275962,0.090991697522434,0.3282309788233598,65,0,0.4838204321277698
TMEM185B,17954,FAM11B,ENSG00000226479,0.0007678068390018,0.1663732947315263,0.4593033211219284,38,0,0.3379004142822451
TTC1,4130,TPR1,ENSG00000113312,0.0007677454840053,0.1389583519295321,0.4186310585509746,55,0,0.3781685541699823
BNIP1,4186,SEC20,ENSG00000113734,0.0007675270048471,0.1520401289668758,0.4379931534792277,26,0,0.3585326781475695
SCRIB,14419,CRIB1,ENSG00000180900,0.0007674496840028,0.1702223760869895,0.464484644952173,34,0,0.33302863844701486
PDLIM2,5067,PDLIM2,ENSG00000120913,0.0007672661898332,0.0630262275900307,0.2631939936106852,109,0,0.5797240260440256
ZNF701,11914,ZNF701,ENSG00000167562,0.0007672319593636,0.1769521984029252,0.4735203752722827,23,0,0.324661328850916
SDHC,8236,CYB560,ENSG00000143252,0.0007667856290936,0.1724681504418928,0.4678640047455029,80,0,0.3298803660959891
PRADC1,7013,C2ORF7,ENSG00000135617,0.0007666315883398,0.4092758473225478,0.7141576444920213,20,0,0.1462059106664293
SLC25A17,2270,PMP34,ENSG00000100372,0.0007664733566343,0.2941995687019688,0.614223202322982,16,0,0.21167378207967552
MTURN,14346,C7ORF41,ENSG00000180354,0.0007664163907368,0.4129578918018842,0.715704727504138,9,0,0.14526611409501478
PCID2,5726,PCID2,ENSG00000126226,0.0007662494213153,0.1193293981246877,0.3861736902207087,39,0,0.4132173177683984
ZBTB7B,10353,ZNF857B,ENSG00000160685,0.0007662236069639,0.1598832815557942,0.4497188894941165,24,0,0.34705887042456246
COX19,18284,COX19,ENSG00000240230,0.0007661059498786,0.1139257380000198,0.3759482463202702,60,0,0.42487193668010337
TBC1D23,527,NS4ATP1,ENSG00000036054,0.0007657446875804,0.2012294598127462,0.5045321893078218,41,0,0.2971111204225093
PFDN2,8237,PFDN2,ENSG00000143256,0.0007657040746844,0.0162123836084015,0.1037747323096249,98,0,0.9839083782250653
BRWD3,11379,MRX93,ENSG00000165288,0.0007655010666958,0.0548776389360536,0.2404172658700086,43,0,0.619034346141813
NUP37,1286,MCPH24,ENSG00000075188,0.0007654350054891,0.1860019057640157,0.4865711887433214,19,0,0.31285361044884447
NUDCD3,368,NUDCL,ENSG00000015676,0.0007652796127579,0.0615319250542827,0.2595212382901756,55,0,0.5858270952536665
KIAA0586,2327,SRTD14,ENSG00000100578,0.0007652416825294,0.3742239797934248,0.6853319998675079,29,0,0.16409898941210502
RNF41,14556,RNF41,ENSG00000181852,0.0007650858976624,0.1463506011279176,0.4308587400933865,33,0,0.3656650928406557
CNOT10,14767,CNOT10,ENSG00000182973,0.0007649708701216,0.0318890335708745,0.1667347211902796,92,0,0.7779739523545375
GPATCH3,16841,GPATCH3,ENSG00000198746,0.0007649069031079,0.2394893809108182,0.5541310770474882,30,0,0.25638749284357976
HVCN1,5279,HV1,ENSG00000122986,0.0007645666599273,0.8181866471922833,0.9327567186673346,5,0,0.030231614043080397
ZNF813,16725,ZNF813,ENSG00000198346,0.0007645636796951,0.524453552770229,0.7916293676254703,4,0,0.1014781028422081
COL5A1,6216,COL5A1,ENSG00000130635,0.0007644022504488,0.3717311660001583,0.6839081394959071,33,0,0.16500222750381405
THBS3,12322,TSP3,ENSG00000169231,0.0007643522251219,0.2447094978744065,0.560949464358255,21,0,0.2510762623426483
TIMM29,8118,TIM29,ENSG00000142444,0.0007640451192855,0.2770174041987246,0.597956280129561,20,0,0.223330568507571
ZNF710,7882,ZNF710,ENSG00000140548,0.0007636928930878,0.7606111640047093,0.91220479749545,8,0,0.03990764803421444
TFAM,3460,TFAM,ENSG00000108064,0.0007635315649964,0.0506268780113611,0.2273104004834761,89,0,0.6433806928749082
DIS3L2,8460,DIS3L2,ENSG00000144535,0.0007628534109361,0.2289862677786158,0.5406172272731055,31,0,0.26711011921731403
HS1BP3,4816,ETM2,ENSG00000118960,0.0007626958764516,0.4163042432897037,0.7193945905629283,13,0,0.14303283215206852
NUP107,3874,NUP107,ENSG00000111581,0.0007624843054347,0.2630305834103581,0.5827407097443333,45,0,0.2345246414263178
ITPA,5678,DEE35,ENSG00000125877,0.000762446797811,0.0727093917393732,0.2878326031660502,65,0,0.5408600145232751
UTP18,291,CGI-48,ENSG00000011260,0.0007618901630242,0.2250016636788097,0.5353332996110601,48,0,0.2713757411345301
FAM3C,16358,ILEI,ENSG00000196937,0.0007617883384227,0.2196002502663008,0.5288438671345369,48,0,0.2766725276822081
GPATCH11,9359,GPATCH11,ENSG00000152133,0.0007617629187948,0.239918871372063,0.5545474197576765,34,0,0.2560613110864045
LYRM1,2702,LYRM1,ENSG00000102897,0.000761626958847,0.1374480265939676,0.4158326083756585,50,0,0.38108145756746276
ASTE1,512,ASTE1,ENSG00000034533,0.0007615147365464,0.5427575020617915,0.8035747284182858,36,0,0.094973729814613
ASH2L,6093,ASH2L2,ENSG00000129691,0.0007612152319205,0.359976779844928,0.6741066333173449,19,0,0.17127139931285423
MED8,10202,MED8,ENSG00000159479,0.0007607306220701,0.2940806104085051,0.614223202322982,28,0,0.21167378207967552
ALPK2,16864,ALPK2,ENSG00000198796,0.000760686583817,0.3873719887419797,0.6954583451891191,16,0,0.15772887716908462
TMEM219,9142,TMEM219,ENSG00000149932,0.0007605639967455,0.0461469499137347,0.2147785156939462,134,0,0.6680091632993772
ZNF330,3632,ZNF330,ENSG00000109445,0.0007604692204325,0.3075285307256581,0.6275758184563174,51,0,0.20233379885391983
AVEN,12451,PDCD12,ENSG00000169857,0.000760327805491,0.0694584331486528,0.2799518856638756,51,0,0.5529166028942775
AFG2A,8575,SPATA5,ENSG00000145375,0.0007603202719946,0.1458579475416059,0.4301165643832732,37,0,0.36641383184319265
ASF1A,3938,ASF1A,ENSG00000111875,0.0007602880895137,0.0664453412000185,0.2726953406250185,50,0,0.5643222825135625
LRCH3,15407,LRCH3,ENSG00000186001,0.0007600654281821,0.1769436313480755,0.4735203752722827,51,0,0.324661328850916
CEP104,4509,ROC22,ENSG00000116198,0.0007599983965196,0.4053358606944405,0.7108990721340969,31,0,0.14819205261281565
CSNK2A1,2467,CK2A1,ENSG00000101266,0.0007598125375807,0.1722827096721207,0.4678640047455029,48,0,0.3298803660959891
KIF5C,12104,KIF5C,ENSG00000168280,0.000759758700927,0.0108458764901498,0.07675103099362,150,0,1.1149157819506756
TUG1,18616,LINC00080,ENSG00000253352,0.0007595908503199,0.1884446610151022,0.4888718242443202,43,0,0.3108049922469668
RPS6KB2,13613,P70-BETA-2,ENSG00000175634,0.0007595047354698,0.113312367584489,0.3752728783991201,56,0,0.42565282164401247
ANKRD13D,13140,ANKRD13D,ENSG00000172932,0.0007594964210537,0.1301686287685924,0.4043080205258093,69,0,0.3932876431937788
VPS4A,6527,CIMDAG,ENSG00000132612,0.0007594253581303,0.3899140384425019,0.6965858125580617,52,0,0.15702537511248243
ZNF286A,15718,ZNF286A,ENSG00000187607,0.0007584119836489,0.4490232324684168,0.7422844201346146,6,0,0.1294296547922887
PHB1,11809,HEL-215,ENSG00000167085,0.0007582851327382,0.0591415276681006,0.2527770154674835,104,0,0.5972624181643834
CRYZL1,17392,CRYZL1,ENSG00000205758,0.0007582559035374,0.285338435762225,0.6082798692705498,26,0,0.21589655606606317
RAD51D,15270,BROVCA4,ENSG00000185379,0.0007581667353709,0.4263120742693655,0.7265251680320498,12,0,0.13874933642705403
LRRC47,6252,LRRC47,ENSG00000130764,0.000757956387181,0.2317672920896807,0.5435941210183853,38,0,0.26472524881791143
ARRDC1,16394,ARRDC1,ENSG00000197070,0.0007579046068713,0.0951570948354953,0.3361117880980861,64,0,0.4735162557061419
ARL6IP6,13980,ARL6IP6,ENSG00000177917,0.0007576382448596,0.0363166102237496,0.1825701005062729,62,0,0.7385703453579675
GPATCH2L,1849,C14ORF118,ENSG00000089916,0.0007572586337725,0.2418023168715466,0.5571670935529578,30,0,0.2540145410463136
EIF2B3,1129,EIF2B3,ENSG00000070785,0.0007570369823558,0.1950105131504992,0.4963399252855411,37,0,0.3042207890102174
COPS6,12067,CSN6,ENSG00000168090,0.0007568242974945,0.0300683900738662,0.1591384749444681,122,0,0.7982248081850541
SNX27,8267,SNX27,ENSG00000143376,0.0007568007955948,0.2376027169545022,0.5512981288943357,24,0,0.2586134815135553
OSBPL2,6231,ORP-2,ENSG00000130703,0.0007556840777397,0.1627946906841467,0.4538621210133904,25,0,0.3430760616310752
LRBA,16788,BGL,ENSG00000198589,0.000755643629166,0.2375124218741333,0.5512981288943357,83,0,0.2586134815135553
RNF130,4122,G1RZFP,ENSG00000113269,0.0007554593941439,0.0460188476962364,0.2145546275902756,46,0,0.6684621140129328
ADAT1,927,ADAT1,ENSG00000065457,0.0007551175852616,0.3976063020735417,0.7037651226934426,18,0,0.1525722598041869
