standard_gene_names,Gene,Gene_name,Ensembl_ID,Shift_to_goal_end,Goal_end_vs_random_pval,Goal_end_FDR,N_Detections,Sig,-log10_FDR
GFOD1,8663,GFOD1,ENSG00000145990,0.001362532377243,0.1351103038165035,0.4105834970405608,31,0,0.3865985106114459
FAM3A,1162,FAM3A,ENSG00000071889,0.0013613150055919,0.1578899050491784,0.4460150338094571,28,0,0.35065050229581796
ZNF718,18555,ZNF718,ENSG00000250312,0.0013613138347864,0.1957061458128156,0.5017517633491604,20,0,0.29951109255953146
CDC20B,11126,CDC20B,ENSG00000164287,0.0013610661029815,0.5960461904286403,0.8285782721218845,5,0,0.08166645942934028
DUSP18,11803,DSP18,ENSG00000167065,0.0013609305024147,0.4907843357041415,0.7663764145604625,4,0,0.1155578692529185
SLC25A39,332,SLC25A39,ENSG00000013306,0.0013609139596001,0.0463852871823305,0.2127366340195195,59,0,0.672157716573186
SAMTOR,11204,C7ORF60,ENSG00000164603,0.0013608038425445,0.1900245769113105,0.4945256850894836,17,0,0.3058111467302218
SMARCB1,2128,SMARCB1,ENSG00000099956,0.0013607213539736,0.021776375237163,0.1264659449104005,56,0,0.8980264067304725
ACO1,5251,IREBP,ENSG00000122729,0.001360535621643,0.3755573976474551,0.6820152910643712,10,0,0.16620588817279783
IL15,11083,IL-15,ENSG00000164136,0.0013601221144199,0.302293917301551,0.6237505896690384,20,0,0.2049890308036022
ZBTB32,308,FAZF,ENSG00000011590,0.0013586084047953,0.5260368898681561,0.7885399011195525,3,0,0.10317632592720835
ZNF783,17268,ZNF783,ENSG00000204946,0.0013585082358784,0.6137451267391743,0.8384483431878832,9,0,0.076523689121734
CLIP1,6258,RSN,ENSG00000130779,0.0013579887247854,0.1600939584959603,0.4486904479280918,31,0,0.34805317596787844
NCBP3,1256,NCBP3,ENSG00000074356,0.0013578974065326,0.0893439830436836,0.3235660177256705,42,0,0.4900370961116412
THAP6,13457,THAP6,ENSG00000174796,0.0013575458526611,0.0876750539077984,0.320086361035962,25,0,0.4947328308637279
TMED9,15142,P24ALPHA2,ENSG00000184840,0.0013574214584856,0.022018394737278,0.1273191086617229,83,0,0.8951064104582782
PTER,11537,PTER,ENSG00000165983,0.0013566311034891,0.360604525964503,0.6697150350071819,18,0,0.1741099511050936
OSBPL5,411,OSBPL5,ENSG00000021762,0.001356266438961,0.5347221007569631,0.7956215598393248,2,0,0.09929345682917039
E2F5,6689,E2F-5,ENSG00000133740,0.0013561397790908,0.4128572613394774,0.7124215938905033,4,0,0.14726292530458412
JAZF1,9542,TIP27,ENSG00000153814,0.0013555964188916,0.257169456144819,0.5756746876786929,28,0,0.23982286598197655
LRRC28,12242,LRRC28,ENSG00000168904,0.0013548967738946,0.2440800041690159,0.5611534488291096,12,0,0.25091836357949415
STK19,17113,D6S60E,ENSG00000204344,0.0013544686576899,0.1759877497461188,0.4760426400684988,17,0,0.32235414493272113
ACTA2,3421,ACTA2,ENSG00000107796,0.001354300417006,0.686725640019061,0.8715458953550157,8,0,0.059709738129880396
SLC16A7,4789,SLC16A7,ENSG00000118596,0.0013541400432586,0.0994000581151036,0.3453845627367439,45,0,0.46169707750415134
