standard_gene_names,Gene,Gene_name,Ensembl_ID,Shift_to_goal_end,Goal_end_vs_random_pval,Goal_end_FDR,N_Detections,Sig,-log10_FDR
FAM117B,7560,FAM117B,ENSG00000138439,0.0025279447436332,0.1063007107453162,0.3162838715464139,14,0,0.4999229537592166
SMIM8,3934,C6ORF162,ENSG00000111850,0.0025275026758511,0.2664485306448982,0.5309094634648449,6,0,0.27497953328771507
MPHOSPH9,696,MPP9,ENSG00000051825,0.0025264365332467,0.0239016378520543,0.1241794547242379,14,0,0.9059502514861261
ZNF845,17600,ZNF845,ENSG00000213799,0.002525471150875,0.1447578349572555,0.3815765737250464,6,0,0.41841829595495145
INO80B,4360,HMGA1L4,ENSG00000115274,0.0025253171722094,0.2420231014902149,0.5033075570782669,6,0,0.29816654869534776
SCAMP1,1644,SCAMP,ENSG00000085365,0.0025246726969877,0.009744171587907,0.0650242567587188,24,0,1.1869246031833298
MED1,5621,TRIP2,ENSG00000125686,0.0025245378414789,0.0248389299786269,0.1268073899753854,30,0,0.8968554362649221
PNPO,3500,PNPO,ENSG00000108439,0.0025234421094258,0.0991939666984675,0.3044523408147029,6,0,0.5164806824765945
MIB2,16504,ZZANK1,ENSG00000197530,0.0025227889418601,0.3439158541836852,0.6081454310096206,2,0,0.21599255175951426
ARSB,4124,MPS6,ENSG00000113273,0.0025222443721511,0.0100007565729047,0.0663222587621048,22,0,1.1783406912754357
CAMKK1,57,CAMKK1,ENSG00000004660,0.0025215595960617,0.2778685427389473,0.543307016465579,2,0,0.26495468629223734
DRG2,3526,DRG2,ENSG00000108591,0.0025207383765114,0.051712620744324,0.2047215154703253,18,0,0.6888365122031115
PBLD,3469,PBLD,ENSG00000108187,0.0025193467736244,0.142359193165339,0.3776347590283863,8,0,0.4229280383160484
IFT27,2265,RABL4,ENSG00000100360,0.0025190282613039,0.0937956848951014,0.2941745942437364,20,0,0.5313948368980395
FUOM,9008,FUCM,ENSG00000148803,0.0025184303522109,0.2821318857380869,0.548542818125024,2,0,0.2607894666314134
S1PR2,19125,LPB2,ENSG00000267534,0.0025182403624057,0.1390974526427175,0.3727873758674393,4,0,0.42853880308828307
DYSF,7019,FER1L1,ENSG00000135636,0.0025172084569931,0.3311337724133112,0.5960655850854363,2,0,0.22470595221674775
PARVB,15947,CGI-56,ENSG00000188677,0.002516442288955,0.4536123608605958,0.7033112644365511,12,0,0.15285242674490576
RIC3,11649,RIC-3,ENSG00000166405,0.0025155544281005,0.1773925957547312,0.4276277765799687,4,0,0.368934092930952
CCNB1,6728,CCNB1,ENSG00000134057,0.0025149285793304,0.2863674025038328,0.5529583671100078,2,0,0.2573075660100209
FUT10,13097,FUCTX,ENSG00000172728,0.0025116242468357,0.4171537619301901,0.6722558362193244,2,0,0.1724654187411867
MRPS10,644,MRP-S10,ENSG00000048544,0.0025112064821379,0.1421545581826337,0.3775084870157985,14,0,0.42307328026606017
H2AC7,16342,H2AC7,ENSG00000196866,0.0025111511349678,0.9450147696083926,0.980816192612445,8,0,0.008412372858100665
PDE4C,3132,PDE4C,ENSG00000105650,0.0025103684853423,0.0824797032376893,0.2718042585104937,22,0,0.565743743213825
ZMIZ1,3466,NEDDFSA,ENSG00000108175,0.0025092083960771,0.0637405231187255,0.2340316419662714,8,0,0.6307254203576959
RNF20,9755,BRE1A,ENSG00000155827,0.0025086151435971,0.0385386500989782,0.1706204693148134,16,0,0.7679688677921664
VNN2,4006,VNN2,ENSG00000112303,0.0025079559002603,0.0959756457415026,0.2987496679627799,14,0,0.5246925687283669
ZNF23,11874,ZNF359,ENSG00000167377,0.0025057755410671,0.1987884365507237,0.4554670199997881,4,0,0.34154306446628985
AP3D1,907,HPS10,ENSG00000065000,0.0025038011372089,0.0226372879662334,0.1198019598697308,16,0,0.9215360771583341
NFKBIL1,17161,NFKBIL,ENSG00000204498,0.002502754330635,0.2868381899502633,0.5529583671100078,2,0,0.2573075660100209
UBL4A,2622,MDY2,ENSG00000102178,0.0025026500225067,0.122002259109187,0.3437368073817586,6,0,0.46377396106350327
TMTC3,7699,LIS8,ENSG00000139324,0.0025021716952323,0.0634803593289149,0.2334329389318724,10,0,0.6318378621422958
KLHL22,2120,KLHL22,ENSG00000099910,0.0025016479194164,0.0447597542583884,0.18600250516364,8,0,0.7304812064733827
SCAP,4272,SCAP,ENSG00000114650,0.0025012828409671,0.205118801713474,0.4633362455430507,4,0,0.3341037247836198
DNMT3A,4913,TBRS,ENSG00000119772,0.0025006915841783,0.0337968566370005,0.1562454679910564,14,0,0.80619257081602
SGTA,2994,SGT,ENSG00000104969,0.0024994026869535,0.1140466425359581,0.3296280476783209,20,0,0.48197584177565445
FAM110A,5684,FAM110A,ENSG00000125898,0.0024897381663322,0.612782253386131,0.817938931773777,2,0,0.08727912002514328
ZNF850,19098,ZNF850,ENSG00000267041,0.0024892324581742,0.2096030916480308,0.468007117522354,4,0,0.3297475420601108
FAHD1,14319,C16ORF36,ENSG00000180185,0.0024890750646591,0.2072819469720125,0.4656271645299401,4,0,0.331961691027151
GIGYF2,17054,GIGYF2,ENSG00000204120,0.0024885551797019,0.0101492182587084,0.0667564294045656,18,0,1.175506900443425
EVI5,1002,EVI-5,ENSG00000067208,0.0024871185421943,0.0967810057438928,0.3002084358817011,10,0,0.5225771082106773
THAP3,580,THAP3,ENSG00000041988,0.0024867057800292,0.0452232836048246,0.186959198256231,10,0,0.7282531630122853
MAP3K9,136,PRKE1,ENSG00000006432,0.0024855583906173,0.3151926166890618,0.5810449105491104,2,0,0.23579029850491168
TMCC1,13106,TMCC1,ENSG00000172765,0.0024850308895111,0.1439847155030427,0.3804773356079305,10,0,0.41967120831146804
MPDU1,6047,SLC66A5,ENSG00000129255,0.0024847872555255,0.0813504585282752,0.2700464910123115,18,0,0.5685614615743861
NT5C2,1349,NT5C2,ENSG00000076685,0.0024846793914383,0.0128522511889282,0.0795796828285473,22,0,1.0991977961030035
SERINC5,11132,SERINC5,ENSG00000164300,0.0024837189737488,0.0156488677375356,0.0915418095909656,34,0,1.038380506726252
ZBED4,2290,ZBED4,ENSG00000100426,0.0024833389454417,0.0273350964078904,0.1355828574079866,18,0,0.8677952175762705
MLLT10,1420,MLLT10,ENSG00000078403,0.0024824971333146,0.0717844881675541,0.2506462012415399,24,0,0.6009388731069384
