Gene stable ID,Transcript stable ID,Gene name,Transcript name
ENSG00000303867,ENST00000797720,,
ENSG00000303867,ENST00000797721,,
ENSG00000303867,ENST00000797722,,
ENSG00000303867,ENST00000797723,,
ENSG00000309229,ENST00000839739,,
ENSG00000278294,ENST00000611690,5_8S_rRNA,5_8S_rRNA.6-201
ENSG00000274917,ENST00000611446,RNA5-8SN5,RNA5-8SN5-201
ENSG00000307034,ENST00000823014,,
ENSG00000310277,ENST00000848702,,
ENSG00000310277,ENST00000848703,,
ENSG00000273730,ENST00000619779,5_8S_rRNA,5_8S_rRNA.1-201
ENSG00000273937,ENST00000614535,,
ENSG00000277196,ENST00000621424,,
ENSG00000277196,ENST00000615165,,
ENSG00000308580,ENST00000835177,,
ENSG00000296546,ENST00000740255,,
ENSG00000296546,ENST00000740256,,
ENSG00000296546,ENST00000740257,,
ENSG00000296546,ENST00000740258,,
ENSG00000296546,ENST00000740259,,
ENSG00000303173,ENST00000792413,,
ENSG00000303173,ENST00000792414,,
ENSG00000303173,ENST00000792415,,
ENSG00000303173,ENST00000792416,,
ENSG00000303173,ENST00000792417,,
ENSG00000303173,ENST00000792418,,
ENSG00000303173,ENST00000792419,,
ENSG00000303173,ENST00000792420,,
ENSG00000303173,ENST00000792421,,
ENSG00000303173,ENST00000792422,,
ENSG00000303173,ENST00000792423,,
ENSG00000303173,ENST00000792424,,
ENSG00000303173,ENST00000792425,,
ENSG00000303173,ENST00000792426,,
ENSG00000303173,ENST00000792427,,
ENSG00000303173,ENST00000792428,,
ENSG00000303173,ENST00000792429,,
ENSG00000303173,ENST00000792430,,
ENSG00000303173,ENST00000792431,,
ENSG00000303173,ENST00000792432,,
ENSG00000303173,ENST00000792433,,
ENSG00000303173,ENST00000792434,,
ENSG00000303173,ENST00000792435,,
ENSG00000303173,ENST00000792436,,
ENSG00000303173,ENST00000792437,,
ENSG00000303173,ENST00000792438,,
ENSG00000303173,ENST00000792439,,
ENSG00000303173,ENST00000792440,,
ENSG00000303173,ENST00000792441,,
ENSG00000303173,ENST00000792442,,
ENSG00000303173,ENST00000792443,,
ENSG00000303173,ENST00000792444,,
ENSG00000303173,ENST00000792445,,
ENSG00000303173,ENST00000792446,,
ENSG00000303173,ENST00000792447,,
ENSG00000303173,ENST00000792448,,
ENSG00000303173,ENST00000792449,,
ENSG00000303173,ENST00000792450,,
ENSG00000303173,ENST00000792451,,
ENSG00000303173,ENST00000792452,,
ENSG00000303173,ENST00000792453,,
ENSG00000303173,ENST00000792454,,
ENSG00000303173,ENST00000792455,,
ENSG00000303173,ENST00000792456,,
ENSG00000303173,ENST00000792457,,
ENSG00000303173,ENST00000792458,,
ENSG00000303173,ENST00000792459,,
ENSG00000303173,ENST00000792460,,
ENSG00000303173,ENST00000792461,,
ENSG00000303173,ENST00000792462,,
ENSG00000303173,ENST00000792463,,
ENSG00000303173,ENST00000792464,,
ENSG00000303173,ENST00000792465,,
ENSG00000303173,ENST00000792466,,
ENSG00000303173,ENST00000792467,,
ENSG00000303173,ENST00000792468,,
ENSG00000303173,ENST00000792469,,
ENSG00000303173,ENST00000792470,,
ENSG00000303173,ENST00000792471,,
ENSG00000303173,ENST00000792472,,
ENSG00000303173,ENST00000792473,,
ENSG00000303173,ENST00000792474,,
ENSG00000303173,ENST00000792475,,
ENSG00000303173,ENST00000792476,,
ENSG00000303173,ENST00000792477,,
ENSG00000303173,ENST00000792478,,
ENSG00000303173,ENST00000792479,,
ENSG00000303173,ENST00000792480,,
ENSG00000303173,ENST00000792481,,
ENSG00000303173,ENST00000792482,,
ENSG00000303173,ENST00000792483,,
ENSG00000303173,ENST00000792484,,
ENSG00000303173,ENST00000792485,,
ENSG00000303173,ENST00000792486,,
ENSG00000303173,ENST00000792487,,
ENSG00000303173,ENST00000792488,,
ENSG00000303173,ENST00000792489,,
ENSG00000303173,ENST00000792490,,
ENSG00000296902,ENST00000743439,,
ENSG00000297619,ENST00000749345,,
ENSG00000297619,ENST00000749346,,
ENSG00000297619,ENST00000749347,,
ENSG00000297619,ENST00000749348,,
ENSG00000297619,ENST00000749349,,
ENSG00000297619,ENST00000749350,,
ENSG00000297619,ENST00000749351,,
ENSG00000296713,ENST00000741285,,
ENSG00000296713,ENST00000741286,,
ENSG00000305511,ENST00000811422,,
ENSG00000305511,ENST00000811423,,
ENSG00000305511,ENST00000811424,,
ENSG00000305511,ENST00000811425,,
ENSG00000305525,ENST00000811524,,
ENSG00000278625,ENST00000616830,U6,U6.88-201
ENSG00000294644,ENST00000724920,,
ENSG00000294644,ENST00000724921,,
ENSG00000294644,ENST00000724922,,
ENSG00000294644,ENST00000724923,,
ENSG00000294644,ENST00000724924,,
ENSG00000306721,ENST00000820381,,
ENSG00000306721,ENST00000820382,,
ENSG00000306721,ENST00000820383,,
ENSG00000306721,ENST00000820384,,
ENSG00000306721,ENST00000820385,,
ENSG00000306721,ENST00000820386,,
ENSG00000306721,ENST00000820387,,
ENSG00000306721,ENST00000820388,,
ENSG00000306721,ENST00000820389,,
ENSG00000306721,ENST00000820390,,
ENSG00000306721,ENST00000820391,,
